source,target,value
pain,dental,5
pain,teething,2
pain,chest,116
pain,angina,3
pain,neck,86
pain,itch,12
pain,insect,1
pain,sting,10
pain,coldness,21
pain,arthritis,18
pain,leg,130
pain,pregnancy,57
pain,over,9
pain,insomnia,2
pain,drug,25
pain,vision,97
pain,fibromyalgia,16
pain,hydrocodone,5
pain,oxycodone,4
pain,skin,39
pain,nerve,33
pain,muscle,65
pain,baby,20
pain,acetaminophen,14
pain,forearm,7
pain,swelling,124
pain,lip,5
pain,burn,53
pain,tooth,36
pain,amoxicillin,4
pain,ibuprofen,17
pain,aspirin,2
pain,reaction,4
pain,liver,14
pain,injury,48
pain,shingles,17
pain,stomach,152
pain,heartburn,5
pain,drinking,42
pain,back,63
pain,walking,91
pain,cold,3
pain,antibiotic,40
pain,acne,4
pain,rheumatoid,6
pain,erection,14
pain,emergency,7
pain,magnetic,9
pain,head,96
pain,knee,87
pain,sperm,2
pain,heart,37
pain,stent,6
pain,hiv,2
pain,cramps,38
pain,exercise,39
pain,surgery,70
pain,movement,122
pain,parkinsons,1
pain,arm,80
pain,running,27
pain,flatulence,5
pain,b12,1
pain,antidepressant,3
pain,supplement,3
pain,headache,54
pain,diverticulitis,6
pain,infection,1
pain,ulcer,8
pain,milk,2
pain,ligament,6
pain,sprain,8
pain,buttocks,8
pain,sciatica,9
pain,intestine,8
pain,worm,2
pain,mouth,28
pain,molar,3
pain,ice,1
pain,x,20
pain,vagina,46
pain,injection,20
pain,steroid,7
pain,anxiety,14
pain,sexual,40
pain,ears,78
pain,ear,4
pain,flu,9
pain,lump,35
pain,penis,56
pain,ganglion,1
pain,calf,17
pain,tendonitis,5
pain,hot,5
pain,period,113
pain,sweating,7
pain,morphine,4
pain,hand,55
pain,foot,66
pain,fever,47
pain,drainage,14
pain,sinus,6
pain,keloid,2
pain,scar,7
pain,heel,14
pain,blister,10
pain,mitral,2
pain,tricuspid,1
pain,oral,1
pain,skull,1
pain,jaw,18
pain,cheekbones,2
pain,depression,7
pain,narcotic,7
pain,congestive,3
pain,fatigue,10
pain,diabetes,9
pain,vitamin,4
pain,high,7
pain,ankle,37
pain,nipple,16
pain,meal,5
pain,ultrasound,15
pain,fracture,20
pain,tibia,2
pain,restlessness,2
pain,thigh,25
pain,tightness,20
pain,nausea,34
pain,belly,18
pain,spasm,13
pain,hernia,16
pain,cyst,22
pain,orgasm,9
pain,gallbladder,10
pain,palpation,3
pain,appendix,14
pain,stress,16
pain,hysterectomy,11
pain,cervix,4
pain,testicle,48
pain,nail,6
pain,hike,2
pain,big,9
pain,eyes,43
pain,insurance,19
pain,bladder,18
pain,pancreatitis,3
pain,tattoo,2
pain,breast,57
pain,urethra,6
pain,urination,53
pain,spine,18
pain,tailbone,1
pain,shoulder,69
pain,gallstone,8
pain,prostatitis,1
pain,adenoma,1
pain,uterus,10
pain,pregnancy,8
pain,kidney,30
pain,diet,6
pain,food,26
pain,ribcage,14
pain,post,1
pain,spotting,13
pain,colon,2
pain,cancer,17
pain,vein,15
pain,lactate,1
pain,toe,21
pain,elbow,28
pain,armpit,10
pain,swallow,11
pain,throat,28
pain,ovary,23
pain,migraine,13
pain,crying,17
pain,herpes,6
pain,pelvis,19
pain,endoscopy,5
pain,constipation,20
pain,vaginal,4
pain,anus,20
pain,scoliosis,5
pain,meat,2
pain,carrot,1
pain,tenderness,23
pain,blood,16
pain,bruise,32
pain,knee,12
pain,hip,5
pain,rotator,4
pain,methadone,3
pain,pressure,50
pain,transvaginal,2
pain,prostate,5
pain,scrotum,11
pain,head,1
pain,kidney,19
pain,type,1
pain,bacterium,4
pain,soda,1
pain,meniscus,4
pain,brain,12
pain,blindness,1
pain,pilonidal,2
pain,lumbar,1
pain,degenerative,2
pain,family,11
pain,dizziness,12
pain,vaccination,2
pain,kidney,4
pain,smoking,9
pain,mineral,1
pain,bowel,30
pain,menstrual,2
pain,circulation,3
pain,rash,11
pain,colonoscopy,9
pain,workout,7
pain,indigestion,4
pain,nose,15
pain,healing,29
pain,tumor,6
pain,diarrhea,22
pain,temperature,6
pain,vomit,29
pain,shin,7
pain,dyslexia,1
pain,thumb,7
pain,trigger,3
pain,weight,6
pain,eardrum,2
pain,menopause,5
pain,leukemia,1
pain,short,9
pain,tampon,4
pain,mastectomy,1
pain,smell,13
pain,pelvic,17
pain,drug,1
pain,delusions,1
pain,paranoid,2
pain,epidural,5
pain,birth,5
pain,nodule,1
pain,biopsy,4
pain,thyroid,1
pain,thyroid,2
pain,numbness,18
pain,rectum,12
pain,gonorrhea,2
pain,trigeminal,3
pain,vision,1
pain,breastfeed,2
pain,weight,18
pain,physical,7
pain,std,2
pain,diabetic,1
pain,chronic,6
pain,cough,34
pain,treadmill,3
pain,sleepiness,2
pain,fetus,2
pain,endometriosis,3
pain,macular,1
pain,glaucoma,1
pain,abdominal,13
pain,disorientation,1
pain,naproxen,4
pain,addiction,2
pain,hallucination,2
pain,skull,5
pain,breast,6
pain,broken,1
pain,weakness,20
pain,boil,2
pain,pain,3
pain,wart,2
pain,labor,4
pain,hair,8
pain,heart,2
pain,cauliflower,1
pain,cartilage,2
pain,healthy,2
pain,prenatal,1
pain,abdominal,1
pain,bloating,19
pain,amyotrophic,1
pain,concussion,4
pain,tubal,1
pain,paranoia,1
pain,inflammation,7
pain,gout,3
pain,lower,2
pain,colon,5
pain,lung,6
pain,drowsiness,5
pain,grip,2
pain,confusion,5
pain,finger,25
pain,shoulder,16
pain,blood,6
pain,tonsil,5
pain,condom,2
pain,ear,9
pain,wrist,19
