source,target,value
penis,erectile,5
penis,drug,4
penis,surgery,15
penis,head,88
penis,circumcision,17
penis,pain,56
penis,lump,13
penis,sexual,60
penis,testicle,22
penis,erection,46
penis,choking,1
penis,healing,15
penis,hair,9
penis,condom,14
penis,rectum,1
penis,pressure,6
penis,urethra,13
penis,prostatitis,5
penis,hiv,4
penis,arm,1
penis,rash,17
penis,scrape,3
penis,hand,18
penis,fear,10
penis,movement,11
penis,cancer,2
penis,virus,2
penis,wart,8
penis,grip,1
penis,ejaculation,40
penis,tightness,9
penis,herpes,14
penis,chlamydia,6
penis,yeast,9
penis,pelvis,3
penis,antibiotic,7
penis,skin,63
penis,blister,11
penis,scabies,2
penis,vagina,32
penis,massage,6
penis,breast,2
penis,syphilis,2
penis,pregnancy,22
penis,genitalia,6
penis,exercise,1
penis,bruise,5
penis,swelling,21
penis,cyst,3
penis,nerve,3
penis,nodule,1
penis,injection,2
penis,testosterone,4
penis,std,4
penis,urination,24
penis,leg,7
penis,anus,13
penis,period,14
penis,erythema,1
penis,itch,24
penis,lime,1
penis,hike,1
penis,tick,1
penis,masturbation,53
penis,attention,1
penis,vision,24
penis,short,5
penis,bladder,3
penis,weakness,2
penis,fever,3
penis,complete,1
penis,armpit,2
penis,foreskin,28
penis,abdominal,1
penis,heart,2
penis,anxiety,1
penis,thigh,7
penis,birth,2
penis,insurance,1
penis,acne,2
penis,sting,4
penis,sexually,18
penis,smoking,2
penis,muscle,3
penis,sperm,8
penis,orgasm,5
penis,ovary,1
penis,irregularity,2
penis,fallopian,1
penis,exposure,3
penis,allergy,1
penis,hernia,4
penis,balanitis,2
penis,burn,24
penis,running,1
penis,toddler,1
penis,trauma,3
penis,vinegar,1
penis,human,3
penis,finger,7
penis,dry,2
penis,genital,7
penis,wrinkle,3
penis,scrotum,9
penis,allergic,3
penis,sore,6
penis,skin,1
penis,vein,11
penis,lotion,3
penis,hormone,1
penis,estrogen,1
penis,birth,1
penis,puberty,2
penis,scar,6
penis,prostate,4
penis,food,1
penis,electrocardiogram,1
penis,corpulence,2
penis,urostomy,1
penis,paranoid,3
penis,steroid,3
penis,yeast,1
penis,cortisone,3
penis,circulation,3
penis,walking,3
penis,organ,2
penis,aids,1
penis,height,2
penis,grief,1
penis,fatigue,1
penis,drowsiness,1
penis,coldness,1
penis,piercing,1
penis,abstinence,1
penis,shoulder,2
penis,blood,1
penis,injury,2
penis,hematoma,1
penis,constipation,2
penis,bowel,1
penis,weight,3
penis,mouth,6
penis,clitoris,2
penis,puffiness,2
penis,hemorrhoid,1
penis,nervousness,1
penis,epididymitis,1
penis,ultrasound,1
penis,swallow,1
penis,belly,2
penis,psoriasis,2
penis,fertility,1
penis,bloating,1
penis,vaginal,1
penis,travel,1
penis,obesity,1
penis,spotting,1
penis,drinking,3
penis,stomach,1
penis,oxygen,1
penis,jock,1
penis,bacterium,2
penis,fracture,1
penis,depression,1
penis,stress,3
penis,spider,1
penis,thrombosis,1
penis,confusion,1
penis,blood,1
penis,menopause,1
penis,shaving,2
penis,thrush,1
penis,brain,1
penis,stroke,2
penis,vasectomy,1
penis,cellulitis,1
penis,grape,1
penis,cuts,1
penis,canker,1
penis,workout,1
penis,mole,3
penis,stitches,2
penis,suicide,1
penis,undescended,1
penis,lymph,2
penis,smell,4
penis,genital,1
penis,cervix,1
penis,cervical,1
penis,reaction,1
penis,contact,1
penis,hallucination,1
penis,taste,1
penis,impotence,1
penis,cats,1
penis,hysterectomy,1
penis,diet,1
penis,back,1
penis,appendix,1
penis,oil,2
penis,hymen,2
penis,pea,3
penis,supplement,1
penis,lip,3
penis,cold,2
penis,central,1
penis,artery,2
penis,ovulation,4
penis,forearm,1
penis,hypospadias,1
penis,diarrhea,1
penis,tooth,1
penis,hematospermia,1
penis,sweating,1
penis,inflammation,1
penis,molluscum,1
penis,stiff,1
penis,dermatitis,2
penis,elbow,1
penis,stretch,1
penis,foot,2
penis,abscess,1
penis,marijuana,1
penis,wound,2
penis,razor,1
penis,boil,1
penis,emergency,1
penis,numbness,1
penis,poison,2
penis,medicare,1
penis,ring,1
penis,spit,1
penis,diabetes,1
penis,urinary,1
penis,drug,1
penis,scalp,1
penis,ulcer,1
