source,target,value
period,erection,4
period,breast,71
period,pregnancy,625
period,weight,5
period,diabetes,6
period,medicare,1
period,drug,7
period,fracture,1
period,stress,43
period,mood,6
period,bipolar,2
period,depression,9
period,anxiety,9
period,knee,5
period,yeast,19
period,ovulation,87
period,menstrual,14
period,irregularity,69
period,spotting,157
period,allergy,2
period,itch,6
period,skin,7
period,pain,113
period,hot,8
period,chest,7
period,sweating,7
period,birth,46
period,tooth,4
period,birth,174
period,intrauterine,2
period,menopause,39
period,running,11
period,ultrasound,7
period,sexual,216
period,over,2
period,meal,2
period,stomach,46
period,movement,13
period,pregnancy,154
period,vision,61
period,nipple,16
period,tenderness,31
period,leg,13
period,spasm,2
period,cramps,114
period,miscarriage,26
period,protein,1
period,genital,2
period,ejaculation,48
period,hair,7
period,fever,4
period,weight,9
period,condom,66
period,abdominal,13
period,vagina,56
period,finger,10
period,sperm,8
period,spine,4
period,tailbone,1
period,flu,3
period,virus,1
period,fertility,22
period,confusion,19
period,nausea,44
period,cyst,11
period,x,2
period,ibuprofen,2
period,rotator,1
period,ablation,1
period,ovary,22
period,hiv,3
period,surgery,12
period,back,29
period,lip,2
period,baby,41
period,vomit,10
period,vaginal,11
period,food,11
period,tightness,4
period,headache,24
period,fatigue,10
period,masturbation,7
period,hand,23
period,tampon,33
period,blood,17
period,pelvis,3
period,bruise,2
period,antidepressant,1
period,tubal,9
period,insurance,12
period,lightheadedness,5
period,hunger,8
period,uterus,23
period,pressure,8
period,heel,2
period,toe,1
period,newborn,1
period,short,19
period,hormone,20
period,gastric,2
period,coldness,6
period,flashback,1
period,milk,2
period,dry,3
period,dizziness,8
period,anemia,4
period,blood,1
period,weakness,6
period,nervousness,6
period,muscle,3
period,pelvic,7
period,pap,4
period,bladder,5
period,fear,13
period,birth,16
period,antibiotic,13
period,tea,2
period,urination,12
period,head,3
period,brain,2
period,seizure,2
period,perimenopause,5
period,penis,14
period,exercise,7
period,height,4
period,mucus,4
period,cough,3
period,smoking,3
period,nostril,2
period,nose,4
period,sinus,1
period,epistaxis,1
period,smell,9
period,burn,11
period,yeast,2
period,injection,21
period,drowsiness,11
period,painful,2
period,migraine,4
period,kidney,3
period,arm,3
period,shoulder,3
period,infertility,2
period,urinary,1
period,staph,2
period,cervix,5
period,polyp,2
period,thermal,1
period,hysterectomy,7
period,fiber,1
period,foot,5
period,walking,6
period,post,2
period,numbness,3
period,drug,1
period,weight,15
period,bloating,22
period,blood,10
period,depo,10
period,meat,5
period,heart,1
period,fruit,3
period,swelling,14
period,mouth,5
period,endometriosis,5
period,orgasm,5
period,polycystic,4
period,cancer,3
period,sexually,6
period,conception,6
period,physical,1
period,clitoris,2
period,toothache,1
period,magnetic,2
period,anus,7
period,morning,7
period,herpes,2
period,gallstone,1
period,rectum,1
period,breastfeed,2
period,sids,1
period,orange,4
period,drinking,15
period,feeding,2
period,constipation,8
period,obesity,3
period,psoriasis,1
period,foreskin,1
period,family,10
period,circumcision,1
period,knee,1
period,estrogen,3
period,testosterone,3
period,high,1
period,fast,1
period,sodium,1
period,endometrial,3
period,vinegar,1
period,fallopian,1
period,stroke,1
period,oil,1
period,exposure,1
period,chronic,2
period,diarrhea,5
period,abortion,6
period,morning,4
period,bowel,4
period,taste,4
period,drug,1
period,acetaminophen,1
