source,target,value
pregnancy,pregnancy,136
pregnancy,exercise,1
pregnancy,birth,23
pregnancy,stress,12
pregnancy,period,154
pregnancy,vision,12
pregnancy,family,2
pregnancy,protein,1
pregnancy,pain,8
pregnancy,cramps,11
pregnancy,miscarriage,8
pregnancy,meal,1
pregnancy,lactose,1
pregnancy,diet,2
pregnancy,bloating,5
pregnancy,lip,1
pregnancy,breast,19
pregnancy,puberty,1
pregnancy,spotting,22
pregnancy,stomach,9
pregnancy,nipple,4
pregnancy,milk,2
pregnancy,tenderness,7
pregnancy,insurance,2
pregnancy,ovary,3
pregnancy,nausea,10
pregnancy,irregularity,16
pregnancy,pressure,1
pregnancy,fear,4
pregnancy,condom,10
pregnancy,sexual,33
pregnancy,genitalia,2
pregnancy,ejaculation,2
pregnancy,urination,5
pregnancy,ovulation,9
pregnancy,mouth,1
pregnancy,vaginal,1
pregnancy,lightheadedness,5
pregnancy,infertility,1
pregnancy,baby,8
pregnancy,ultrasound,3
pregnancy,pap,1
pregnancy,blood,3
pregnancy,drowsiness,1
pregnancy,skin,1
pregnancy,fertility,4
pregnancy,sleepiness,2
pregnancy,injection,4
pregnancy,vertigo,1
pregnancy,menstrual,5
pregnancy,hunger,2
pregnancy,abdominal,1
pregnancy,chest,1
pregnancy,conception,3
pregnancy,paranoid,2
pregnancy,hormone,5
pregnancy,mucus,1
pregnancy,egg,1
pregnancy,birth,3
pregnancy,hysterectomy,2
pregnancy,belly,2
pregnancy,headache,4
pregnancy,fatigue,6
pregnancy,craving,2
pregnancy,premenstrual,1
pregnancy,smoking,1
pregnancy,breastfeed,1
pregnancy,movement,1
pregnancy,over,1
pregnancy,ectopic,2
pregnancy,walking,1
pregnancy,food,4
pregnancy,dizziness,2
pregnancy,flatulence,1
pregnancy,electrogastrogram,1
pregnancy,yeast,3
pregnancy,vagina,4
pregnancy,menopause,1
pregnancy,throat,1
pregnancy,nervousness,1
pregnancy,morning,1
pregnancy,weight,1
pregnancy,yeast,1
pregnancy,estrogen,1
pregnancy,hair,1
pregnancy,acne,1
pregnancy,mood,3
pregnancy,smell,2
pregnancy,height,1
pregnancy,foot,1
pregnancy,testicular,1
pregnancy,uterus,3
pregnancy,depression,1
pregnancy,depo,1
pregnancy,orgasm,1
pregnancy,tooth,1
pregnancy,drinking,2
pregnancy,constipation,1
pregnancy,surgery,1
pregnancy,sting,1
pregnancy,confusion,4
pregnancy,finger,1
pregnancy,weight,1
pregnancy,menstrual,1
pregnancy,shoulder,1
pregnancy,antibiotic,1
pregnancy,swelling,1
pregnancy,flu,1
pregnancy,coffee,1
pregnancy,bacterium,1
pregnancy,abortion,1
