source,target,value
pressure,ibuprofen,1
pressure,headache,11
pressure,runny,2
pressure,sinus,4
pressure,eyes,13
pressure,sinus,4
pressure,weight,7
pressure,penis,6
pressure,head,25
pressure,testicle,5
pressure,urethra,1
pressure,migraine,1
pressure,injection,3
pressure,ears,24
pressure,blood,10
pressure,vision,9
pressure,pregnancy,9
pressure,burn,8
pressure,swelling,5
pressure,hydrocodone,1
pressure,heart,2
pressure,aspirin,1
pressure,prostate,1
pressure,neck,7
pressure,lymph,3
pressure,lump,3
pressure,coldness,5
pressure,jaw,5
pressure,tooth,4
pressure,cramps,3
pressure,tightness,4
pressure,forehead,3
pressure,dizziness,8
pressure,pain,50
pressure,post,1
pressure,ear,7
pressure,chest,7
pressure,pregnancy,1
pressure,period,8
pressure,nausea,6
pressure,birth,4
pressure,elbow,1
pressure,arm,4
pressure,ejaculation,2
pressure,injury,5
pressure,running,4
pressure,scar,1
pressure,shin,5
pressure,colonoscopy,1
pressure,ribcage,2
pressure,workout,1
pressure,throat,4
pressure,pupil,1
pressure,antibiotic,4
pressure,drug,2
pressure,cancer,1
pressure,breast,1
pressure,fibromyalgia,1
pressure,walking,12
pressure,knee,7
pressure,heel,1
pressure,surgery,5
pressure,leg,5
pressure,hand,3
pressure,grip,1
pressure,anger,1
pressure,movement,11
pressure,foot,7
pressure,urination,7
pressure,vaginal,1
pressure,bruise,7
pressure,skin,8
pressure,breast,2
pressure,back,2
pressure,stroke,1
pressure,cystoscopy,1
pressure,bladder,4
pressure,ultrasound,1
pressure,urinalysis,1
pressure,numbness,3
pressure,genitalia,1
pressure,nerve,4
pressure,muscle,4
pressure,vein,2
pressure,diarrhea,2
pressure,anus,3
pressure,thumb,1
pressure,wrist,6
pressure,erection,2
pressure,pinched,1
pressure,stress,3
pressure,eardrum,1
pressure,ear,1
pressure,rice,1
pressure,ovary,2
pressure,quit,1
pressure,smoking,1
pressure,oxygen,1
pressure,brain,1
pressure,suicide,1
pressure,blood,1
pressure,bicep,1
pressure,fear,2
pressure,sexual,4
pressure,cough,5
pressure,sore,1
pressure,watery,1
pressure,corpulence,3
pressure,fracture,5
pressure,exercise,2
pressure,kidney,2
pressure,scalp,2
pressure,essential,1
pressure,beta,1
pressure,ace,1
pressure,heart,4
pressure,sternum,2
pressure,organ,1
pressure,gallbladder,1
pressure,soda,1
pressure,pelvic,2
pressure,hysterectomy,1
pressure,diet,2
pressure,steroid,1
pressure,mole,1
pressure,forearm,2
pressure,blister,1
pressure,nasal,1
pressure,tinnitus,6
pressure,fever,3
pressure,acetaminophen,1
pressure,temperature,1
pressure,pap,1
pressure,hair,1
pressure,clitoris,1
pressure,smell,1
pressure,angina,1
pressure,toothache,1
pressure,wisdom,1
pressure,vomit,2
pressure,blood,2
pressure,vagina,3
pressure,yeast,1
pressure,sweating,2
pressure,drainage,3
pressure,carpal,1
pressure,magnetic,1
pressure,healing,3
pressure,stress,3
pressure,itch,2
pressure,shingles,1
pressure,uterus,2
pressure,heat,1
pressure,rash,1
pressure,thigh,2
pressure,blinking,1
pressure,low,3
pressure,carpal,1
pressure,ovulation,1
pressure,menopause,1
pressure,dog,1
pressure,bulging,1
pressure,tenderness,2
pressure,exercise,1
pressure,treadmill,1
pressure,blindness,1
pressure,kidney,1
pressure,fistula,1
pressure,shoulder,1
pressure,nose,2
pressure,insurance,1
pressure,mastoiditis,1
pressure,skull,1
pressure,finger,3
pressure,wound,1
pressure,hiatal,1
pressure,food,4
pressure,nail,2
pressure,fingernail,1
pressure,hunger,2
pressure,tampon,1
pressure,vasectomy,1
pressure,cats,1
pressure,ankle,1
pressure,stomach,3
pressure,arthritis,1
pressure,undescended,1
pressure,scrotum,1
pressure,toe,2
pressure,tetanus,1
pressure,spine,1
pressure,drinking,2
pressure,liver,1
pressure,nervousness,1
pressure,rectum,1
pressure,pelvis,2
pressure,circulation,1
pressure,high,1
pressure,autism,1
pressure,seizure,1
pressure,family,2
pressure,constipation,1
pressure,fatty,1
pressure,x,2
pressure,swallow,2
pressure,soft,1
pressure,anxiety,1
pressure,stent,1
pressure,craving,1
pressure,spotting,1
pressure,confusion,1
pressure,belly,1
pressure,pulse,1
pressure,detached,1
pressure,degenerative,1
pressure,lightheadedness,1
pressure,diabetes,1
pressure,erectile,1
