source,target,value
rash,bedbug,1
rash,leg,15
rash,skin,48
rash,vision,9
rash,amoxicillin,3
rash,lupus,1
rash,itch,24
rash,foot,7
rash,lotion,5
rash,sunscreen,1
rash,birth,1
rash,ears,5
rash,ear,3
rash,toddler,1
rash,chest,10
rash,arm,33
rash,blister,15
rash,shingles,11
rash,diabetes,1
rash,chickenpox,2
rash,forearm,2
rash,torso,2
rash,neck,6
rash,nose,3
rash,impetigo,1
rash,bacterium,4
rash,virus,2
rash,penis,17
rash,hiv,1
rash,muscle,2
rash,injection,3
rash,spine,2
rash,steroid,7
rash,over,2
rash,poison,7
rash,hand,11
rash,scrotum,2
rash,sweating,7
rash,bruise,2
rash,blood,2
rash,ankle,7
rash,nervousness,1
rash,head,5
rash,cough,2
rash,clitoris,1
rash,vagina,9
rash,pain,11
rash,circulation,2
rash,eyes,5
rash,eyebrow,1
rash,running,1
rash,thigh,10
rash,leukemia,1
rash,short,1
rash,temperature,2
rash,armpit,10
rash,antibiotic,14
rash,workout,2
rash,healing,4
rash,anus,6
rash,testicle,4
rash,movement,6
rash,lump,2
rash,dizziness,1
rash,tenderness,3
rash,heat,5
rash,fever,9
rash,sinus,1
rash,throat,2
rash,coldness,5
rash,baby,3
rash,reaction,4
rash,wrist,2
rash,hydrocortisone,3
rash,acetaminophen,2
rash,complete,1
rash,pregnancy,3
rash,atopic,3
rash,elbow,3
rash,acne,4
rash,burn,10
rash,sexual,1
rash,mouth,3
rash,rosacea,1
rash,shoulder,3
rash,diaper,5
rash,sore,4
rash,ibuprofen,1
rash,blood,3
rash,stomach,7
rash,ultrasound,1
rash,knee,5
rash,makeup,1
rash,nausea,2
rash,diarrhea,1
rash,tongue,1
rash,headache,2
rash,buttocks,3
rash,numbness,1
rash,fast,1
rash,ring,1
rash,insurance,1
rash,birth,1
rash,jock,3
rash,quit,1
rash,jaw,1
rash,herpes,3
rash,bacterial,1
rash,breast,6
rash,plant,2
rash,pets,1
rash,smell,2
rash,nipple,2
rash,hives,2
rash,welt,3
rash,allergic,8
rash,lip,3
rash,allergy,2
rash,walking,1
rash,kidney,1
rash,kidney,2
rash,surgery,1
rash,strep,3
rash,thyroid,1
rash,kidney,1
rash,forehead,2
rash,exposure,1
rash,peanut,1
rash,swelling,3
rash,yeast,5
rash,scrape,2
rash,pressure,1
rash,inhaler,1
rash,bronchitis,1
rash,dry,1
rash,oxycodone,1
rash,scarlet,1
rash,masturbation,2
rash,grief,1
rash,runny,1
rash,sexually,2
rash,abdominal,1
rash,exercise,1
rash,drainage,1
rash,abscess,1
rash,toe,2
rash,rectum,1
rash,genitalia,2
rash,flu,1
rash,period,5
rash,staph,1
rash,thrush,2
rash,jaundice,1
rash,scabies,1
rash,finger,1
rash,measles,1
rash,cats,1
rash,wound,2
rash,milk,1
rash,thumb,1
rash,mononucleosis,1
rash,irregularity,1
rash,tooth,1
rash,protein,2
rash,calamine,2
rash,poison,1
rash,cuts,2
rash,massage,1
rash,dermatitis,2
rash,cortisone,2
rash,oil,1
rash,erection,1
rash,urinary,2
rash,yeast,1
rash,tick,1
rash,wrist,1
rash,breastfeed,1
rash,pea,1
rash,immune,1
rash,psoriasis,1
rash,big,1
rash,food,1
rash,weight,1
rash,obesity,1
rash,salt,1
rash,vinegar,1
