source,target,value
running,diet,3
running,nostril,1
running,nose,12
running,aspirin,1
running,multivitamin,1
running,knee,3
running,pain,27
running,fever,37
running,drug,4
running,ibuprofen,2
running,swallow,2
running,period,11
running,spotting,3
running,nausea,3
running,dizziness,10
running,vision,13
running,neck,4
running,insurance,2
running,vertigo,1
running,feeding,1
running,calcium,1
running,forgetfulness,1
running,easily,1
running,short,4
running,knee,15
running,heart,7
running,hand,7
running,throat,5
running,baby,4
running,teething,1
running,rhinoplasty,1
running,exercise,21
running,weight,14
running,lump,3
running,blood,1
running,hike,2
running,back,2
running,spine,3
running,tooth,1
running,heel,3
running,toe,2
running,meat,1
running,iron,1
running,fish,1
running,meal,1
running,calorie,3
running,pressure,4
running,injury,4
running,scar,2
running,shin,3
running,potassium,1
running,kidney,1
running,bladder,4
running,rash,1
running,eyes,7
running,eyebrow,1
running,ears,8
running,blood,5
running,leg,21
running,bruise,4
running,sting,3
running,vein,3
running,coldness,11
running,sweating,6
running,thyroid,2
running,shoulder,1
running,tendonitis,1
running,skin,5
running,cough,12
running,muscle,10
running,height,3
running,chest,10
running,treadmill,4
running,nerve,2
running,vomit,5
running,abdominal,1
running,surgery,8
running,varicose,1
running,irritability,1
running,family,7
running,drinking,5
running,consumption,1
running,lemon,1
running,juice,2
running,digestive,1
running,cancer,2
running,seizure,2
running,soda,1
running,pregnancy,7
running,corpulence,3
running,urination,2
running,walking,17
running,flu,5
running,fear,3
running,head,8
running,anger,3
running,tinnitus,2
running,nervousness,2
running,physical,1
running,drowsiness,6
running,diabetes,4
running,suicide,1
running,breast,3
running,arm,8
running,grip,1
running,sexual,4
running,dog,2
running,dislocation,1
running,spit,1
running,antibiotic,6
running,sinus,1
running,positron,1
running,blood,4
running,insulin,2
running,type,1
running,stomach,6
running,vinegar,1
running,blood,1
running,weight,3
running,smoking,2
running,thigh,1
running,sids,1
running,fibromyalgia,2
running,depression,4
running,chronic,1
running,anxiety,2
running,lymph,1
running,penis,1
running,high,2
running,sodium,1
running,reaction,1
running,movement,4
running,autism,1
running,headache,4
running,pneumonia,1
running,ear,3
running,lip,2
running,libido,1
running,finger,3
running,cramps,3
running,calf,1
running,tightness,3
running,workout,4
running,injection,2
running,acetaminophen,1
running,forehead,1
running,epistaxis,1
running,trauma,1
running,painkiller,1
running,food,4
running,ear,1
running,chickenpox,1
running,shingles,1
running,peanut,1
running,lobster,1
running,shellfish,1
running,shrimp,1
running,oil,1
running,exposure,1
running,chronic,1
running,weight,3
running,laparoscopy,1
running,colonoscopy,1
running,hiv,1
running,rice,1
running,dairy,1
running,soy,1
running,sleepiness,1
running,hernia,2
running,swelling,4
running,burn,5
running,blister,1
running,wrist,2
running,allergy,3
running,hair,1
running,ankle,4
running,achilles,1
running,foot,2
running,tenderness,1
running,magnetic,1
running,healing,2
running,tendon,1
running,lung,2
running,pasta,1
running,weakness,3
running,incontinence,1
running,brain,1
running,sadness,1
running,circulation,1
running,rectum,2
running,temperature,3
running,thermometer,2
running,anemia,2
running,sore,2
running,instability,1
running,bursitis,1
running,fitness,1
running,stroke,1
running,hysterectomy,1
running,mouth,4
running,ulcer,1
running,biopsy,2
running,healthy,1
running,salad,1
running,elbow,1
running,catheter,1
running,bartholin,1
running,third,1
running,marijuana,1
running,anesthesia,1
running,testicle,1
running,stress,2
running,birth,1
running,wound,2
running,virus,1
running,diarrhea,2
running,infant,1
running,penicillin,1
running,labor,1
running,irregularity,1
running,underactive,1
running,buttocks,1
running,fruit,1
running,vegetable,1
running,vitamin,1
running,shock,1
running,jock,1
running,aids,1
running,sprain,1
running,itch,1
running,tongue,3
running,tonsil,1
running,herpes,2
running,fatigue,1
running,pink,1
running,transfusion,1
running,flour,1
running,paranoia,1
running,numbness,2
running,transcutaneous,1
running,nightmare,1
running,pressure,1
running,hemorrhoid,1
running,amoxicillin,1
running,osteoarthritis,1
running,premenstrual,1
running,ligament,1
running,cats,1
running,delusions,1
running,soft,1
running,iris,1
running,cyst,1
running,inhaler,1
running,splint,1
running,pulse,1
running,pacemaker,1
running,bloating,1
running,priapism,1
running,cat,1
running,congestive,1
running,bacterium,1
running,sinus,1
