source,target,value
sexual,vagina,65
sexual,sexually,23
sexual,erection,25
sexual,numbness,2
sexual,headache,5
sexual,hiv,12
sexual,diabetes,1
sexual,anus,15
sexual,weight,5
sexual,lubricants,1
sexual,prostate,2
sexual,surgery,5
sexual,urinary,1
sexual,infection,1
sexual,fibromyalgia,2
sexual,bladder,5
sexual,pregnancy,256
sexual,birth,48
sexual,birth,17
sexual,antibiotic,6
sexual,shingles,2
sexual,pain,40
sexual,yeast,12
sexual,heart,4
sexual,rehabilitation,1
sexual,penis,60
sexual,lump,2
sexual,period,216
sexual,spotting,29
sexual,ovulation,47
sexual,ovulation,1
sexual,orgasm,24
sexual,herpes,21
sexual,head,15
sexual,hair,2
sexual,vaginal,5
sexual,ejaculation,61
sexual,crying,1
sexual,condom,74
sexual,fertility,15
sexual,short,6
sexual,vision,23
sexual,cramps,16
sexual,grief,1
sexual,fear,14
sexual,baby,14
sexual,nausea,14
sexual,lightheadedness,4
sexual,poison,1
sexual,blood,8
sexual,thigh,2
sexual,nipple,8
sexual,flashback,1
sexual,virus,5
sexual,cyst,1
sexual,drinking,11
sexual,yeast,3
sexual,weight,3
sexual,tobacco,1
sexual,pregnancy,33
sexual,smell,7
sexual,irregularity,13
sexual,lithotripsy,1
sexual,stent,2
sexual,urinary,3
sexual,gonorrhea,4
sexual,urination,14
sexual,masturbation,23
sexual,kidney,1
sexual,erythema,1
sexual,blister,4
sexual,itch,3
sexual,breastfeed,1
sexual,circumcision,4
sexual,lime,1
sexual,hike,1
sexual,tick,1
sexual,sperm,19
sexual,muscle,3
sexual,hand,8
sexual,calf,1
sexual,stress,16
sexual,stomach,15
sexual,injury,1
sexual,hormone,1
sexual,pea,1
sexual,burn,12
sexual,drowsiness,7
sexual,urethra,2
sexual,migraine,2
sexual,ultrasound,2
sexual,tubal,1
sexual,injection,12
sexual,abdominal,4
sexual,blood,1
sexual,hernia,2
sexual,conception,4
sexual,electrogastrogram,3
sexual,hormone,5
sexual,chlamydia,11
sexual,cesarean,2
sexual,cervix,4
sexual,birth,3
sexual,uterus,6
sexual,h,1
sexual,anxiety,2
sexual,breast,12
sexual,genitalia,2
sexual,libido,4
sexual,delayed,1
sexual,testosterone,2
sexual,polyp,2
sexual,thermal,1
sexual,flatulence,1
sexual,bowel,2
sexual,nerve,1
sexual,lip,3
sexual,tooth,2
sexual,kidney,2
sexual,walking,2
sexual,cold,2
sexual,leg,7
sexual,anal,1
sexual,acne,3
sexual,wart,5
sexual,cancer,8
sexual,running,4
sexual,tightness,5
sexual,rash,1
sexual,flu,1
sexual,nervousness,4
sexual,family,2
sexual,skin,12
sexual,pelvic,1
sexual,pap,6
sexual,cervical,1
sexual,toxic,1
sexual,height,1
sexual,fatigue,6
sexual,human,9
sexual,biopsy,1
sexual,hiv,2
sexual,trichomoniasis,4
sexual,movement,6
sexual,foreskin,4
sexual,tenderness,7
sexual,chest,4
sexual,finger,6
sexual,drug,4
sexual,cold,3
sexual,exposure,3
sexual,placenta,1
sexual,lotion,1
sexual,balanitis,1
sexual,blood,2
sexual,erectile,4
sexual,belly,1
sexual,coldness,3
sexual,morning,6
sexual,fetus,1
sexual,leep,1
sexual,hysterectomy,1
sexual,sting,2
sexual,cervical,1
sexual,healing,4
sexual,bruise,1
sexual,pressure,4
sexual,over,2
sexual,cranberry,1
sexual,tongue,1
sexual,paranoid,5
sexual,feeding,1
sexual,insurance,3
sexual,clitoris,3
sexual,confusion,5
sexual,mole,1
sexual,genital,2
sexual,skin,1
sexual,testicle,2
sexual,dysplasia,1
sexual,depression,3
sexual,concentration,1
sexual,mouth,3
sexual,tooth,1
sexual,allergic,2
sexual,smoking,2
sexual,organ,4
sexual,back,9
sexual,taste,3
sexual,aids,2
sexual,bloating,6
sexual,post,2
sexual,menopause,3
sexual,scrotum,2
sexual,menstrual,2
sexual,pelvic,2
sexual,methadone,1
sexual,sweating,4
sexual,genital,7
sexual,ovary,2
sexual,exercise,3
sexual,diet,2
sexual,craving,1
sexual,mucus,1
sexual,ammonia,1
sexual,tampon,6
sexual,cough,3
sexual,shoulder,1
sexual,impotence,1
sexual,sore,2
sexual,fever,2
sexual,depo,2
sexual,jelly,1
sexual,inflammation,1
sexual,methicillin,3
sexual,heartburn,1
sexual,estrogen,1
sexual,caffeine,1
sexual,appendix,1
sexual,throat,1
sexual,hunger,1
sexual,screening,1
sexual,bacterial,1
sexual,occupational,1
sexual,swallow,3
sexual,morning,1
sexual,fever,1
sexual,cats,1
sexual,swelling,4
sexual,reaction,1
sexual,miscarriage,1
sexual,vomit,2
sexual,stretch,1
sexual,jock,2
sexual,heat,1
sexual,brain,2
sexual,colposcopy,1
sexual,weight,2
sexual,vasectomy,2
sexual,mood,3
sexual,weakness,1
sexual,prolapsed,1
sexual,vinegar,1
sexual,hepatitis,2
sexual,sleepiness,1
sexual,worm,1
sexual,staph,1
sexual,henoch,1
sexual,nose,1
sexual,infertility,2
sexual,strep,1
sexual,marijuana,1
sexual,mononucleosis,1
sexual,lithium,1
sexual,borderline,1
sexual,bipolar,1
sexual,rectal,1
sexual,pelvic,1
sexual,food,2
sexual,eating,1
sexual,hymen,1
sexual,diverticulitis,1
sexual,hallucination,1
sexual,sore,1
sexual,epididymitis,1
sexual,multiple,1
sexual,deformity,1
sexual,hematospermia,1
sexual,laparoscopic,1
sexual,fallopian,1
sexual,wound,2
sexual,belch,1
sexual,spit,2
sexual,allergy,1
sexual,spasm,1
sexual,artery,1
sexual,virginia,1
sexual,massage,1
sexual,ulcer,1
