source,target,value
shingles,pain,17
shingles,over,4
shingles,sting,2
shingles,sexual,2
shingles,pregnancy,4
shingles,chickenpox,14
shingles,vaccination,11
shingles,drug,1
shingles,rash,11
shingles,blister,11
shingles,skin,3
shingles,fibromyalgia,1
shingles,mouth,2
shingles,hand,4
shingles,foot,2
shingles,eyes,2
shingles,ears,1
shingles,herpes,5
shingles,flu,3
shingles,vaccines,1
shingles,ribcage,1
shingles,drainage,1
shingles,reaction,1
shingles,nerve,2
shingles,headache,1
shingles,hives,2
shingles,allergy,1
shingles,swelling,3
shingles,welt,1
shingles,virus,7
shingles,infant,2
shingles,throat,1
shingles,neck,2
shingles,head,3
shingles,hair,1
shingles,injection,3
shingles,newborn,1
shingles,baby,3
shingles,shoulder,2
shingles,staph,1
shingles,wrist,1
shingles,scalp,1
shingles,tinnitus,2
shingles,belly,1
shingles,walking,1
shingles,running,1
shingles,nervousness,1
shingles,hydrocortisone,1
shingles,buttocks,1
shingles,atopic,1
shingles,tongue,1
shingles,thigh,1
shingles,itch,3
shingles,cough,1
shingles,sore,1
shingles,kidney,1
shingles,burn,2
shingles,period,2
shingles,nipple,1
shingles,menopause,1
shingles,breast,1
shingles,vagina,3
shingles,blood,2
shingles,vision,2
shingles,pressure,1
shingles,health,1
shingles,arm,5
shingles,antibiotic,1
shingles,ringworm,1
shingles,immunization,1
shingles,surgery,2
shingles,medicare,2
shingles,poison,1
shingles,vitamin,2
shingles,genital,1
shingles,autism,1
shingles,sore,1
shingles,immune,1
shingles,nose,1
shingles,lip,1
shingles,concentration,1
shingles,lung,1
shingles,massage,1
shingles,lymph,1
shingles,stomach,2
shingles,leg,1
shingles,bacterium,1
shingles,exposure,1
shingles,confusion,1
shingles,erection,1
shingles,tenderness,1
shingles,short,1
shingles,chest,1
shingles,neuralgia,1
shingles,essential,1
shingles,seeds,1
shingles,smell,1
