source,target,value
shoulder,dislocation,3
shoulder,movement,17
shoulder,surgery,12
shoulder,hair,3
shoulder,neck,38
shoulder,allergy,1
shoulder,lymph,1
shoulder,head,15
shoulder,tonsil,1
shoulder,ibuprofen,6
shoulder,back,4
shoulder,arm,50
shoulder,vision,9
shoulder,pain,69
shoulder,heart,3
shoulder,cough,3
shoulder,chest,10
shoulder,sweating,1
shoulder,muscle,9
shoulder,tightness,2
shoulder,psoriasis,1
shoulder,thigh,1
shoulder,torso,2
shoulder,orange,1
shoulder,foot,2
shoulder,nerve,2
shoulder,leg,8
shoulder,hand,9
shoulder,weight,2
shoulder,workout,2
shoulder,rotator,11
shoulder,x,6
shoulder,range,1
shoulder,sleepiness,2
shoulder,numbness,7
shoulder,puffiness,2
shoulder,wound,3
shoulder,ring,1
shoulder,elbow,13
shoulder,diet,1
shoulder,stress,2
shoulder,stomach,4
shoulder,running,1
shoulder,exercise,3
shoulder,tendonitis,2
shoulder,throat,1
shoulder,armpit,2
shoulder,wrist,4
shoulder,gallbladder,2
shoulder,osteoporosis,1
shoulder,fracture,2
shoulder,degenerative,1
shoulder,injury,11
shoulder,knee,5
shoulder,iron,1
shoulder,forearm,1
shoulder,burn,5
shoulder,blister,3
shoulder,herniated,1
shoulder,scoliosis,2
shoulder,rheumatoid,2
shoulder,spine,3
shoulder,drowsiness,1
shoulder,blood,2
shoulder,shock,1
shoulder,pinched,3
shoulder,fertility,1
shoulder,sperm,1
shoulder,jaw,1
shoulder,cat,1
shoulder,finger,2
shoulder,period,3
shoulder,kidney,1
shoulder,ear,1
shoulder,magnetic,1
shoulder,bursitis,3
shoulder,tendinitis,2
shoulder,short,1
shoulder,bicep,7
shoulder,smoking,1
shoulder,injection,7
shoulder,flu,2
shoulder,tendon,3
shoulder,rash,3
shoulder,ears,2
shoulder,chickenpox,1
shoulder,pelvis,1
shoulder,ovary,1
shoulder,insurance,1
shoulder,fallopian,1
shoulder,pregnancy,3
shoulder,irregularity,1
shoulder,baby,2
shoulder,shingles,2
shoulder,staph,1
shoulder,mucus,1
shoulder,fatigue,1
shoulder,bone,1
shoulder,ligament,2
shoulder,knee,2
shoulder,menopause,1
shoulder,coldness,4
shoulder,electrocardiogram,1
shoulder,shoulder,1
shoulder,cats,1
shoulder,cervix,2
shoulder,breast,3
shoulder,scar,2
shoulder,cortisone,3
shoulder,anxiety,2
shoulder,pea,1
shoulder,lump,3
shoulder,sexual,1
shoulder,orgasm,2
shoulder,rotator,2
shoulder,physical,1
shoulder,arthritis,4
shoulder,tetanus,1
shoulder,reaction,1
shoulder,allergic,1
shoulder,skin,6
shoulder,sunburn,1
shoulder,liver,2
shoulder,ankle,1
shoulder,toe,1
shoulder,itch,1
shoulder,flatulence,1
shoulder,chemotherapy,1
shoulder,melatonin,1
shoulder,drug,1
shoulder,drug,2
shoulder,cradle,1
shoulder,penis,2
shoulder,erection,1
shoulder,shoulder,4
shoulder,vertebra,1
shoulder,cherry,1
shoulder,acne,2
shoulder,pressure,1
shoulder,icing,1
shoulder,testosterone,1
shoulder,healing,2
shoulder,constipation,1
shoulder,urination,1
shoulder,crying,1
shoulder,pulse,1
shoulder,swelling,1
shoulder,stem,1
shoulder,epidural,1
shoulder,tic,1
shoulder,lightheadedness,1
shoulder,thumb,1
shoulder,diabetes,1
shoulder,cervical,1
shoulder,cyst,1
shoulder,nausea,1
shoulder,concussion,1
shoulder,scalp,1
shoulder,weakness,1
shoulder,pregnancy,1
shoulder,broken,1
shoulder,shaving,1
shoulder,hormone,1
shoulder,artery,1
shoulder,fibromyalgia,1
shoulder,drinking,1
shoulder,biopsy,1
shoulder,stomach,1
shoulder,fuzziness,1
