source,target,value
skin,vitiligo,3
skin,lump,25
skin,breast,12
skin,diet,8
skin,hand,35
skin,blister,21
skin,tongue,3
skin,pain,39
skin,oxycodone,2
skin,over,8
skin,infection,3
skin,drug,5
skin,rash,48
skin,leg,38
skin,eyes,21
skin,nicotine,1
skin,hair,21
skin,benzoyl,1
skin,rosacea,2
skin,arm,37
skin,smell,3
skin,makeup,4
skin,acne,27
skin,sunscreen,6
skin,vitamin,1
skin,atopic,4
skin,itch,43
skin,insurance,7
skin,tattoo,2
skin,vision,38
skin,piercing,4
skin,belly,6
skin,chemotherapy,2
skin,shaving,3
skin,baby,8
skin,food,7
skin,surgery,7
skin,fracture,3
skin,collagen,3
skin,anti,3
skin,vitamin,2
skin,wrinkle,10
skin,neck,14
skin,aging,5
skin,estrogen,4
skin,pregnancy,9
skin,hyperpigmentation,1
skin,psoriasis,3
skin,forehead,7
skin,ears,6
skin,dry,8
skin,jaw,2
skin,scar,8
skin,reaction,8
skin,stomach,12
skin,eyelid,4
skin,olive,3
skin,tuberculosis,1
skin,amoxicillin,1
skin,lupus,1
skin,hydrocortisone,2
skin,plastic,1
skin,cold,2
skin,canker,1
skin,foot,21
skin,lotion,13
skin,oil,2
skin,condom,2
skin,swelling,21
skin,finger,19
skin,diabetes,6
skin,big,3
skin,toe,5
skin,forearm,4
skin,period,7
skin,drinking,5
skin,tooth,4
skin,mouth,12
skin,lip,12
skin,healing,18
skin,birth,1
skin,quit,2
skin,chest,7
skin,smoking,2
skin,shingles,3
skin,nerve,1
skin,little,1
skin,fingernail,2
skin,menopause,3
skin,armpit,8
skin,nose,14
skin,adult,2
skin,meat,4
skin,knee,7
skin,liver,1
skin,whitehead,4
skin,exercise,7
skin,grief,2
skin,oatmeal,1
skin,molar,2
skin,oral,1
skin,lemon,4
skin,hormone,2
skin,exposure,2
skin,puffiness,3
skin,ankle,7
skin,amyloidosis,1
skin,cosmetic,1
skin,liver,2
skin,coffee,1
skin,birthmark,1
skin,throat,1
skin,cyst,9
skin,bruise,12
skin,pore,6
skin,soda,1
skin,sweating,9
skin,heart,1
skin,fear,8
skin,thumb,9
skin,herpes,11
skin,allergic,4
skin,mucus,1
skin,sting,8
skin,nipple,8
skin,puberty,1
skin,penis,63
skin,erection,3
skin,ejaculation,3
skin,antibiotic,6
skin,chlamydia,2
skin,pea,8
skin,salt,1
skin,movement,18
skin,athletes,1
skin,taste,1
skin,vagina,18
skin,edema,1
skin,anus,10
skin,paranoid,1
skin,milk,1
skin,bacterium,6
skin,urethra,3
skin,ultrasound,1
skin,injury,7
skin,wound,8
skin,nail,10
skin,weight,2
skin,thigh,12
skin,lactose,1
skin,thyroid,1
skin,thyroid,3
skin,obesity,2
skin,mold,1
skin,lap,1
skin,wine,1
skin,wart,6
skin,wrist,4
skin,grape,1
skin,running,5
skin,fever,7
skin,diarrhea,4
skin,coldness,13
skin,temperature,2
skin,hemoglobin,1
skin,dehydration,3
skin,confusion,3
skin,thirst,1
skin,circumcision,12
skin,poisoning,1
skin,liposuction,2
skin,merkel,1
skin,cancer,8
skin,breast,2
skin,head,24
skin,yeast,2
skin,scalp,6
skin,stroke,2
skin,staph,2
skin,nausea,2
skin,lymph,4
skin,fatigue,2
skin,burn,25
skin,walking,10
skin,newborn,2
skin,weight,5
skin,hallucination,1
skin,blood,1
skin,mole,2
skin,skin,2
skin,genitalia,4
skin,buttocks,4
skin,polycystic,1
skin,ovary,1
skin,blood,2
skin,weight,5
skin,foreskin,7
skin,breastfeed,1
skin,onion,1
skin,calcium,1
skin,laparoscopy,1
skin,masturbation,8
skin,sexually,6
skin,tenderness,8
skin,puncture,1
skin,scabies,4
skin,family,2
skin,sore,2
skin,pressure,8
skin,brain,2
skin,pregnancy,1
skin,drowsiness,2
skin,stress,5
skin,vitamin,2
skin,irritable,1
skin,urination,4
skin,sexual,12
skin,vaginal,2
skin,juice,2
skin,post,1
skin,sunburn,6
skin,nervousness,4
skin,keratosis,2
skin,yeast,4
skin,inflammation,3
skin,turkey,1
skin,tightness,4
skin,hernia,2
skin,headache,2
skin,torso,1
skin,balanitis,1
skin,eyebrow,2
skin,vein,2
skin,genital,3
skin,wound,1
skin,tailbone,1
skin,ingrown,1
skin,hiv,1
skin,birth,1
skin,pork,1
skin,paralysis,1
skin,baldness,1
skin,ibuprofen,1
skin,thyroid,1
skin,rectum,2
skin,methicillin,1
skin,drainage,4
skin,abscess,1
skin,vomit,1
skin,corpulence,2
skin,vinegar,1
skin,shoulder,1
skin,pancreas,1
skin,cough,1
skin,testicle,3
skin,steroid,2
skin,pear,1
skin,scrape,2
skin,ringworm,4
skin,mononucleosis,1
skin,morbid,1
skin,stretch,1
skin,clitoris,5
skin,shoulder,6
skin,blood,2
