source,target,value
smell,skin,3
smell,urination,11
smell,meat,3
smell,itch,5
smell,armpit,1
smell,pregnancy,12
smell,diet,3
smell,sweating,9
smell,molar,1
smell,drug,1
smell,amoxicillin,1
smell,vagina,26
smell,burn,9
smell,bacterium,2
smell,yeast,8
smell,drinking,9
smell,taste,10
smell,pain,13
smell,gallbladder,1
smell,fever,4
smell,diarrhea,4
smell,anus,1
smell,sexual,7
smell,yeast,3
smell,dry,1
smell,hand,5
smell,antibiotic,4
smell,sting,1
smell,tooth,2
smell,ammonia,6
smell,marijuana,1
smell,baby,6
smell,smoking,9
smell,stress,1
smell,period,9
smell,abdominal,1
smell,nose,6
smell,psychosis,1
smell,heartburn,1
smell,depression,2
smell,anxiety,1
smell,head,1
smell,food,3
smell,gynecomastia,1
smell,breast,6
smell,surgery,1
smell,electrogastrogram,2
smell,stomach,6
smell,clitoris,2
smell,vision,7
smell,bladder,2
smell,multiple,1
smell,lyme,1
smell,long,2
smell,headache,3
smell,dog,6
smell,sinus,2
smell,injection,1
smell,concentration,1
smell,flatulence,1
smell,orgasm,2
smell,endometrial,1
smell,vinegar,1
smell,rash,2
smell,foot,4
smell,tobacco,1
smell,migraine,1
smell,dizziness,1
smell,nausea,3
smell,mucus,2
smell,vomit,5
smell,pressure,1
smell,pap,1
smell,hair,4
smell,fear,2
smell,thigh,1
smell,cyst,1
smell,movement,4
smell,coma,1
smell,ostomy,1
smell,finger,1
smell,virus,1
smell,bowel,4
smell,soda,1
smell,syrup,1
smell,walking,1
smell,urinary,1
smell,pregnancy,2
smell,mood,1
smell,bacterial,2
smell,spotting,1
smell,mouth,3
smell,swelling,4
smell,over,1
smell,menopause,1
smell,irregularity,1
smell,cramps,2
smell,pelvic,1
smell,short,2
smell,erection,1
smell,liver,1
smell,kidney,1
smell,ears,1
smell,ear,1
smell,fish,2
smell,bloating,1
smell,kidney,1
smell,cats,2
smell,oil,1
smell,eyes,2
smell,coldness,1
smell,corpulence,1
smell,weight,1
smell,cough,1
smell,masturbation,3
smell,popcorn,1
smell,lump,2
smell,breastfeed,1
smell,bad,1
smell,tonsil,1
smell,ejaculation,4
smell,nipple,1
smell,herpes,2
smell,genital,1
smell,brain,1
smell,mole,1
smell,coffee,2
smell,cholesterol,1
smell,scabies,1
smell,leg,2
smell,onion,1
smell,arm,1
smell,stitches,1
smell,rectum,1
smell,flu,1
smell,belly,1
smell,penis,4
smell,second,1
smell,sleep,1
smell,emphysema,1
smell,chronic,1
smell,lemon,1
smell,foreskin,2
smell,circumcision,2
smell,pneumonia,1
smell,bronchitis,1
smell,hysterectomy,1
smell,back,3
smell,vaginal,4
smell,lice,1
smell,constipation,1
smell,vitamin,1
smell,penicillin,1
smell,miscarriage,1
smell,iron,1
smell,anemia,1
smell,supplement,1
smell,sexually,1
smell,wart,1
smell,juice,1
smell,pore,1
smell,feeding,1
smell,insurance,1
smell,boil,1
smell,scar,1
smell,temperature,1
smell,toddler,1
smell,thirst,1
smell,condom,1
smell,colonoscopy,1
smell,steroid,1
smell,sore,1
smell,shrimp,1
smell,severe,1
smell,antidepressant,1
smell,meningitis,1
smell,muscle,1
smell,weight,1
smell,high,1
smell,asthma,1
smell,type,1
smell,cocaine,1
smell,milk,1
smell,fatigue,1
smell,birth,1
smell,vaginal,1
smell,shingles,1
