source,target,value
smoking,seizure,1
smoking,schizophrenia,3
smoking,paranoid,2
smoking,drinking,19
smoking,multivitamin,1
smoking,erection,8
smoking,skin,2
smoking,pulse,1
smoking,lip,1
smoking,blister,1
smoking,bipolar,2
smoking,tongue,1
smoking,quit,12
smoking,marijuana,27
smoking,immune,1
smoking,stress,5
smoking,sleepiness,1
smoking,sleep,1
smoking,cough,5
smoking,healthy,2
smoking,sore,2
smoking,heart,3
smoking,artery,2
smoking,drug,9
smoking,weight,7
smoking,esophagus,1
smoking,endoscopy,1
smoking,diet,3
smoking,corpulence,4
smoking,chest,7
smoking,cancer,4
smoking,x,1
smoking,psychosis,1
smoking,brain,2
smoking,insomnia,1
smoking,fear,2
smoking,drug,1
smoking,anxiety,5
smoking,pain,9
smoking,meal,1
smoking,exercise,6
smoking,coffee,2
smoking,coldness,3
smoking,cold,1
smoking,calorie,1
smoking,reaction,1
smoking,pregnancy,16
smoking,ovulation,1
smoking,folic,1
smoking,hand,6
smoking,asthma,7
smoking,spit,1
smoking,smell,9
smoking,baby,8
smoking,salt,3
smoking,dry,1
smoking,wisdom,2
smoking,sepsis,1
smoking,period,3
smoking,mucus,1
smoking,walking,3
smoking,newborn,1
smoking,heartburn,1
smoking,food,4
smoking,pneumonia,1
smoking,antibiotic,3
smoking,penis,2
smoking,blood,4
smoking,vision,1
smoking,wine,1
smoking,second,3
smoking,inhaler,1
smoking,shoulder,1
smoking,numbness,1
smoking,muscle,1
smoking,bicep,1
smoking,disorientation,1
smoking,vertigo,1
smoking,turkey,2
smoking,ribcage,1
smoking,breast,1
smoking,workout,2
smoking,lung,4
smoking,healing,3
smoking,care,1
smoking,thyroid,3
smoking,herb,1
smoking,height,4
smoking,grief,1
smoking,nicotine,10
smoking,heart,1
smoking,stent,1
smoking,running,2
smoking,drug,7
smoking,pressure,1
smoking,occupational,1
smoking,tic,1
smoking,methadone,1
smoking,emphysema,2
smoking,stomach,4
smoking,pancreatitis,1
smoking,short,1
smoking,sexual,2
smoking,fever,1
smoking,parasite,1
smoking,worm,1
smoking,urinalysis,1
smoking,injection,2
smoking,pregnancy,1
smoking,menstrual,1
smoking,spotting,1
smoking,chronic,4
smoking,tobacco,5
smoking,libido,1
smoking,addiction,1
smoking,birth,2
smoking,ejaculation,1
smoking,delayed,1
smoking,vagina,1
smoking,cocaine,3
smoking,screening,2
smoking,movement,3
smoking,bacterium,1
smoking,lung,1
smoking,dyslexia,1
smoking,attention,1
smoking,exposure,2
smoking,condom,1
smoking,heart,4
smoking,weakness,1
smoking,testosterone,1
smoking,high,2
smoking,mouth,1
smoking,hiv,1
smoking,toddler,1
smoking,spine,2
smoking,surgery,7
smoking,hallucination,1
smoking,anesthesia,1
smoking,hunger,1
smoking,drowsiness,1
smoking,diaphragm,1
smoking,cramps,1
smoking,long,1
smoking,foot,3
smoking,ibuprofen,1
smoking,headache,1
smoking,neck,1
smoking,diabetes,2
smoking,sinus,1
smoking,tooth,3
smoking,hiccup,1
smoking,migraine,1
smoking,lightheadedness,1
smoking,eyes,1
smoking,dizziness,1
smoking,hearing,1
smoking,ears,1
smoking,tinnitus,1
smoking,bloating,1
smoking,stroke,1
smoking,dehydration,1
smoking,consumption,1
smoking,foreskin,1
smoking,swelling,2
smoking,throat,1
smoking,tonsil,1
smoking,protein,1
smoking,plant,1
smoking,meat,2
smoking,panic,2
smoking,plaque,1
smoking,feeding,1
smoking,fish,1
smoking,hair,2
smoking,cholesterol,2
smoking,oxygen,1
smoking,liver,2
smoking,finger,1
smoking,thumb,1
smoking,nausea,1
smoking,cirrhosis,1
smoking,leg,1
smoking,ankle,2
smoking,cooking,1
smoking,ovary,1
smoking,metabolism,1
smoking,stitches,1
smoking,breast,1
smoking,birth,1
smoking,restlessness,1
smoking,flashback,1
