source,target,value
spotting,antidepressant,1
spotting,period,157
spotting,irregularity,13
spotting,ovary,10
spotting,hysterectomy,8
spotting,depo,5
spotting,running,3
spotting,birth,26
spotting,sexual,29
spotting,nausea,13
spotting,dizziness,2
spotting,vision,11
spotting,breast,7
spotting,bloating,6
spotting,tenderness,6
spotting,pregnancy,96
spotting,mood,1
spotting,fatigue,2
spotting,stress,4
spotting,pain,13
spotting,cyst,3
spotting,x,1
spotting,cramps,20
spotting,vagina,8
spotting,baby,6
spotting,stomach,4
spotting,pregnancy,22
spotting,tubal,2
spotting,ultrasound,2
spotting,head,2
spotting,breastfeed,1
spotting,birth,1
spotting,ovulation,13
spotting,miscarriage,13
spotting,family,1
spotting,hunger,2
spotting,headache,3
spotting,myomectomy,1
spotting,liver,1
spotting,laparotomy,1
spotting,surgery,1
spotting,drowsiness,3
spotting,cervix,3
spotting,uterus,4
spotting,insurance,2
spotting,milk,1
spotting,lump,1
spotting,blood,1
spotting,urination,5
spotting,tampon,11
spotting,birth,5
spotting,injection,8
spotting,physical,1
spotting,mucus,1
spotting,egg,1
spotting,blood,3
spotting,urinary,1
spotting,lightheadedness,1
spotting,hormone,1
spotting,paranoid,2
spotting,condom,4
spotting,meal,1
spotting,exercise,1
spotting,weight,2
spotting,confusion,2
spotting,arm,1
spotting,menstrual,4
spotting,conception,2
spotting,herpes,1
spotting,yeast,2
spotting,craving,2
spotting,smoking,1
spotting,burn,2
spotting,bacterial,1
spotting,back,7
spotting,obesity,1
spotting,ejaculation,3
spotting,iron,1
spotting,menopause,4
spotting,penile,1
spotting,wart,1
spotting,enema,1
spotting,hot,2
spotting,fertility,1
spotting,smell,1
spotting,tooth,1
spotting,orange,1
spotting,penis,1
spotting,abdominal,4
spotting,hormone,1
spotting,diabetes,2
spotting,goiter,1
spotting,thyroid,1
spotting,sting,1
spotting,fear,2
spotting,drinking,3
spotting,polyp,1
spotting,fever,1
spotting,sweating,1
spotting,estrogen,1
spotting,pressure,1
spotting,corpulence,1
spotting,leg,1
spotting,blister,1
spotting,sunburn,1
spotting,flu,1
spotting,genitalia,1
spotting,ears,1
spotting,movement,1
spotting,hand,1
spotting,diet,1
spotting,bladder,1
spotting,short,1
