source,target,value
stomach,bloating,27
stomach,cellulite,1
stomach,over,3
stomach,pain,152
stomach,itch,2
stomach,prenatal,2
stomach,drug,10
stomach,nausea,55
stomach,lightheadedness,2
stomach,dizziness,11
stomach,chest,27
stomach,headache,20
stomach,ulcer,15
stomach,skin,12
stomach,pregnancy,58
stomach,cramps,34
stomach,panic,5
stomach,stress,8
stomach,iron,3
stomach,food,30
stomach,diarrhea,42
stomach,vomit,36
stomach,antibiotic,7
stomach,milk,6
stomach,naproxen,1
stomach,waist,3
stomach,cuts,2
stomach,birth,5
stomach,supplement,3
stomach,period,46
stomach,meal,11
stomach,ultrasound,5
stomach,heartburn,6
stomach,heart,9
stomach,anxiety,6
stomach,breast,22
stomach,surgery,15
stomach,enema,2
stomach,back,10
stomach,vision,27
stomach,walking,10
stomach,lung,3
stomach,x,4
stomach,nerve,1
stomach,tooth,6
stomach,toothache,1
stomach,bowel,17
stomach,fever,30
stomach,weight,7
stomach,nose,4
stomach,crying,5
stomach,hypothyroidism,1
stomach,anti,1
stomach,gallstone,2
stomach,forehead,1
stomach,arm,8
stomach,hydrocortisone,1
stomach,hormone,2
stomach,fatigue,5
stomach,spotting,4
stomach,baby,15
stomach,diet,19
stomach,virus,12
stomach,drinking,33
stomach,swallow,6
stomach,hunger,15
stomach,tightness,4
stomach,concussion,1
stomach,hernia,3
stomach,head,14
stomach,abdominal,1
stomach,protein,3
stomach,weight,8
stomach,coldness,6
stomach,sour,1
stomach,onion,1
stomach,snack,1
stomach,ribcage,4
stomach,irregularity,6
stomach,emergency,2
stomach,constipation,6
stomach,esophagus,1
stomach,swelling,17
stomach,miscarriage,3
stomach,digestive,1
stomach,pregnancy,9
stomach,birth,14
stomach,menstrual,2
stomach,eyes,6
stomach,intestine,11
stomach,belly,12
stomach,soda,2
stomach,testicle,2
stomach,newborn,1
stomach,lactose,4
stomach,nipple,4
stomach,tenderness,10
stomach,atherosclerosis,1
stomach,angina,1
stomach,muscle,6
stomach,anus,6
stomach,wheat,1
stomach,whole,1
stomach,gallbladder,7
stomach,cholesterol,1
stomach,appendix,4
stomach,small,2
stomach,large,1
stomach,blood,1
stomach,angioplasty,1
stomach,thyroid,5
stomach,endoscopy,6
stomach,diabetes,2
stomach,colonoscopy,6
stomach,soup,1
stomach,lymph,4
stomach,temperature,3
stomach,shoulder,4
stomach,numbness,2
stomach,leg,11
stomach,urination,6
stomach,flu,3
stomach,cold,1
stomach,bacterium,3
stomach,confusion,3
stomach,vein,1
stomach,healing,3
stomach,fear,3
stomach,exercise,8
stomach,indigestion,1
stomach,blood,6
stomach,abdominal,7
stomach,hand,7
stomach,liver,6
stomach,movement,28
stomach,weight,12
stomach,poisoning,1
stomach,cortisol,1
stomach,dog,5
stomach,tubal,1
stomach,uterus,3
stomach,coffee,1
stomach,caffeine,3
stomach,fetus,1
stomach,spasm,2
stomach,flatulence,9
stomach,gastroenteritis,3
stomach,esophagogastroduodenoscopy,1
stomach,grief,1
stomach,sexual,15
stomach,paranoia,1
stomach,ovary,1
stomach,cyst,2
stomach,cooking,1
stomach,antidepressant,1
stomach,drowsiness,5
stomach,gastritis,4
stomach,travel,1
stomach,limb,2
stomach,mouth,6
stomach,finger,1
stomach,hot,1
stomach,torso,2
stomach,cough,4
stomach,weakness,11
stomach,sting,2
stomach,sinus,1
stomach,knee,1
stomach,smell,6
stomach,yeast,2
stomach,rash,7
stomach,ibuprofen,1
stomach,running,6
stomach,vinegar,1
stomach,cranberry,1
stomach,colposcopy,1
stomach,hysterectomy,1
stomach,fiber,2
stomach,pupil,1
stomach,attention,1
stomach,neck,9
stomach,paraplegia,1
stomach,family,5
stomach,smoking,4
stomach,orange,3
stomach,diverticulitis,2
stomach,condom,2
stomach,collarbone,1
stomach,dairy,1
stomach,hypoglycemia,1
stomach,hydrocodone,1
stomach,cluster,1
stomach,heel,1
stomach,foot,4
stomach,mucus,6
stomach,lemon,1
stomach,juice,3
stomach,spider,1
stomach,feeding,4
stomach,acetaminophen,1
stomach,insulin,1
stomach,injection,2
stomach,thigh,3
stomach,soy,2
stomach,vitamin,4
stomach,physical,1
stomach,toddler,1
stomach,acne,1
stomach,gastric,2
stomach,quit,2
stomach,sweating,7
stomach,taste,3
stomach,tapeworm,1
stomach,cervix,2
stomach,tonsil,1
stomach,craving,2
stomach,kiwi,1
stomach,calorie,3
stomach,workout,3
stomach,post,1
stomach,painkiller,1
stomach,ingrown,1
stomach,chronic,1
stomach,electrocardiogram,1
stomach,hives,2
stomach,premenstrual,1
stomach,worm,1
stomach,tick,2
stomach,cancer,4
stomach,burn,14
stomach,conception,1
stomach,migraine,4
stomach,dehydration,2
stomach,varicose,1
stomach,throat,4
stomach,oxycodone,1
stomach,sinus,2
stomach,ears,1
stomach,mood,5
stomach,rectum,3
stomach,placenta,1
stomach,bruise,2
stomach,electrogastrogram,1
stomach,toe,1
stomach,sleepiness,2
stomach,sperm,2
stomach,tea,2
stomach,paranoid,1
stomach,morphine,1
stomach,seizure,1
stomach,calcium,2
stomach,b12,1
stomach,testosterone,1
stomach,staph,1
stomach,antibiotic,1
stomach,rice,3
stomach,cereal,2
stomach,yoga,1
stomach,inflammation,3
stomach,vasculitis,1
stomach,ejaculation,3
stomach,stretch,1
stomach,pelvic,1
stomach,elbow,2
stomach,zinc,1
stomach,appendicitis,1
stomach,thrush,1
stomach,jaundice,1
stomach,blood,1
stomach,type,1
stomach,artery,1
stomach,birth,1
stomach,allergy,3
stomach,alcoholism,1
stomach,diaphragm,1
stomach,reflex,1
stomach,pumpkin,1
stomach,pie,1
stomach,hair,2
stomach,yogurt,2
stomach,short,2
stomach,penis,1
stomach,foreskin,1
stomach,bladder,3
stomach,wrist,1
stomach,ice,1
stomach,mold,1
stomach,aspiration,1
stomach,cold,1
stomach,masturbation,2
stomach,menopause,2
stomach,vagina,3
stomach,transfusion,1
stomach,pressure,3
stomach,lactose,2
stomach,sadness,1
stomach,erosion,1
stomach,stroke,1
stomach,knee,1
stomach,diverticulosis,1
stomach,medicare,1
stomach,sore,1
stomach,tongue,1
stomach,anger,2
stomach,cortisone,1
stomach,anal,1
stomach,cirrhosis,1
stomach,kidney,1
stomach,anemia,1
stomach,hemorrhoid,1
stomach,lettuce,2
stomach,arthritis,1
stomach,stomach,6
stomach,pancreatic,1
stomach,shingles,2
stomach,stool,1
stomach,irritable,4
stomach,lump,2
stomach,hair,1
stomach,marijuana,1
stomach,lung,1
stomach,pancreatitis,1
stomach,acute,1
stomach,dry,1
stomach,peanut,1
stomach,scar,1
stomach,poison,1
stomach,teething,1
stomach,poison,1
stomach,high,1
stomach,heart,1
stomach,ovulation,4
stomach,fertility,1
stomach,lip,1
stomach,colon,1
stomach,belch,2
stomach,vegetable,1
stomach,dysentery,1
stomach,nephrectomy,1
stomach,colitis,1
stomach,fruit,2
stomach,pelvis,1
stomach,kidney,1
stomach,biopsy,2
stomach,insurance,1
stomach,insomnia,1
stomach,chemotherapy,1
stomach,blood,1
stomach,splint,1
stomach,shin,1
stomach,nervousness,1
stomach,mite,1
stomach,erectile,1
stomach,dry,1
stomach,inhaler,1
stomach,sausage,1
stomach,pork,1
stomach,piercing,1
stomach,infant,1
