source,target,value
stress,breast,3
stress,cancer,1
stress,insomnia,3
stress,anxiety,15
stress,period,43
stress,fracture,2
stress,sore,2
stress,leg,4
stress,itch,1
stress,healing,4
stress,vision,12
stress,aging,2
stress,stomach,8
stress,panic,3
stress,choking,2
stress,pregnancy,32
stress,baby,6
stress,walnut,1
stress,post,2
stress,adrenal,1
stress,pregnancy,12
stress,exercise,9
stress,birth,4
stress,pain,16
stress,appendix,1
stress,smoking,5
stress,quit,2
stress,marijuana,1
stress,immune,2
stress,food,1
stress,chest,8
stress,spotting,4
stress,nausea,6
stress,family,3
stress,thyroid,1
stress,weight,1
stress,weight,3
stress,vomit,2
stress,yeast,2
stress,irregularity,2
stress,antidepressant,2
stress,tubal,1
stress,mouth,1
stress,muscle,2
stress,heart,5
stress,virus,1
stress,ears,4
stress,shoulder,2
stress,elbow,1
stress,diet,8
stress,arm,5
stress,head,10
stress,hair,8
stress,condom,6
stress,nervousness,4
stress,fear,6
stress,concussion,1
stress,palpitation,1
stress,caffeine,1
stress,menstrual,1
stress,flu,3
stress,dizziness,3
stress,dry,1
stress,breast,4
stress,bloating,3
stress,smell,1
stress,sexual,16
stress,rotator,1
stress,movement,5
stress,insurance,2
stress,paranoia,1
stress,drinking,7
stress,brain,3
stress,lightheadedness,2
stress,fever,3
stress,fatigue,2
stress,sweating,4
stress,neck,2
stress,drowsiness,4
stress,finger,3
stress,armpit,1
stress,genitalia,3
stress,seizure,2
stress,skin,5
stress,cold,1
stress,drug,3
stress,hiv,1
stress,blood,3
stress,nail,1
stress,burn,3
stress,sunburn,1
stress,tightness,3
stress,over,1
stress,eyes,2
stress,acne,2
stress,supplement,1
stress,numbness,2
stress,sids,1
stress,depression,9
stress,injury,2
stress,coccydynia,1
stress,iron,1
stress,anorexia,1
stress,nose,2
stress,mood,2
stress,bipolar,3
stress,reaction,1
stress,infertility,1
stress,herb,1
stress,fertility,1
stress,gallbladder,1
stress,tapeworm,1
stress,injection,1
stress,sadness,1
stress,restlessness,1
stress,skull,1
stress,headache,3
stress,hemorrhoid,1
stress,fiber,1
stress,diverticulitis,1
stress,conception,1
stress,paranoid,2
stress,ovulation,2
stress,height,1
stress,physical,1
stress,testicle,1
stress,worm,1
stress,suicide,2
stress,tongue,1
stress,chemotherapy,1
stress,bone,1
stress,vasectomy,2
stress,masturbation,2
stress,coldness,2
stress,anger,2
stress,surgery,2
stress,bowel,1
stress,forgetfulness,1
stress,pressure,3
stress,bruise,1
stress,grayness,1
stress,vitamin,2
stress,tremor,1
stress,sexually,1
stress,prostate,1
stress,meditation,1
stress,lupus,1
stress,corpulence,2
stress,blood,2
stress,tumor,1
stress,gestational,1
stress,diabetes,2
stress,sleepiness,1
stress,genital,2
stress,toddler,1
stress,running,2
stress,erection,7
stress,ejaculation,3
stress,penis,3
stress,exercise,1
stress,uterus,1
stress,ulcer,1
stress,grief,1
stress,weight,2
stress,birth,1
stress,depo,1
stress,hives,2
stress,gallstone,1
stress,wrist,1
stress,dehydration,1
stress,orange,1
stress,juice,1
stress,obesity,1
stress,cramps,2
stress,buttocks,1
stress,thigh,1
stress,therapeutic,1
stress,menopause,1
stress,nicotine,1
stress,swelling,2
stress,tooth,1
stress,cold,1
stress,throat,1
stress,liver,2
stress,antibiotic,1
stress,soda,1
stress,constipation,1
stress,pancreatitis,1
stress,craving,1
stress,addiction,1
stress,oxygen,1
stress,foot,1
stress,congestive,1
stress,hallucination,1
stress,walking,1
stress,migraine,2
stress,hair,2
stress,irritable,1
stress,endoscopy,1
stress,high,1
stress,dairy,1
stress,limb,1
stress,weakness,1
stress,massage,1
stress,lice,1
stress,indigestion,1
stress,seeds,1
stress,dark,1
stress,spine,1
stress,lung,1
stress,sphincter,1
stress,bladder,1
stress,anus,1
stress,thumb,1
stress,panic,1
stress,vertigo,1
stress,crying,1
stress,zinc,1
stress,canker,1
