source,target,value
surgery,epilepsy,1
surgery,breast,1
surgery,weight,8
surgery,pelvis,6
surgery,organ,2
surgery,hemorrhoid,4
surgery,scar,10
surgery,keloid,2
surgery,breast,12
surgery,skin,7
surgery,eyes,13
surgery,vision,12
surgery,food,6
surgery,drug,3
surgery,penis,15
surgery,prostate,5
surgery,radical,1
surgery,colonoscopy,4
surgery,colon,2
surgery,pain,70
surgery,exercise,10
surgery,spasm,1
surgery,muscle,7
surgery,multiple,2
surgery,dizziness,2
surgery,ulcerative,1
surgery,sexual,5
surgery,urinary,2
surgery,gastric,17
surgery,stress,1
surgery,hysterectomy,7
surgery,rhinoplasty,1
surgery,vein,3
surgery,stomach,2
surgery,shoulder,12
surgery,movement,3
surgery,knee,31
surgery,injection,7
surgery,lip,4
surgery,hair,6
surgery,stent,4
surgery,open,2
surgery,stretch,1
surgery,spider,1
surgery,leg,29
surgery,quit,2
surgery,puffiness,2
surgery,pregnancy,12
surgery,eosinophilic,1
surgery,stomach,15
surgery,nausea,3
surgery,bloating,3
surgery,drinking,9
surgery,vomit,2
surgery,pelvic,3
surgery,menstrual,2
surgery,ibuprofen,2
surgery,gallbladder,3
surgery,spine,11
surgery,flu,2
surgery,ablation,2
surgery,general,1
surgery,eyelid,1
surgery,blister,5
surgery,exercise,1
surgery,chest,5
surgery,anesthesia,8
surgery,period,12
surgery,ovulation,1
surgery,irregularity,3
surgery,virus,4
surgery,pacemaker,1
surgery,diarrhea,4
surgery,bladder,13
surgery,lung,4
surgery,protein,2
surgery,vitamin,1
surgery,zinc,1
surgery,injury,8
surgery,femur,1
surgery,walking,24
surgery,head,1
surgery,chemotherapy,1
surgery,cancer,9
surgery,brain,3
surgery,liver,6
surgery,heart,11
surgery,healing,27
surgery,diabetes,6
surgery,heel,5
surgery,foot,18
surgery,stroke,3
surgery,carotid,2
surgery,artery,5
surgery,potassium,1
surgery,pancreas,1
surgery,diet,8
surgery,meniscus,3
surgery,swelling,18
surgery,neck,5
surgery,hand,14
surgery,finger,6
surgery,carpal,7
surgery,cyst,11
surgery,ultrasound,2
surgery,trigeminal,2
surgery,ovary,12
surgery,lithotomy,1
surgery,laparoscopic,3
surgery,cervix,3
