source,target,value
sweating,sunscreen,1
sweating,leg,9
sweating,acne,2
sweating,fibromyalgia,1
sweating,period,7
sweating,pain,7
sweating,hot,11
sweating,chest,9
sweating,skin,9
sweating,neck,8
sweating,knee,1
sweating,arm,10
sweating,drug,1
sweating,depression,3
sweating,shoulder,1
sweating,heart,9
sweating,cough,6
sweating,cramps,4
sweating,weakness,2
sweating,scrotum,1
sweating,rash,7
sweating,coldness,18
sweating,cold,2
sweating,smell,9
sweating,diet,4
sweating,potassium,1
sweating,hand,5
sweating,emergency,1
sweating,flu,4
sweating,fever,14
sweating,toddler,1
sweating,seizure,1
sweating,night,1
sweating,confusion,1
sweating,blood,5
sweating,hormone,3
sweating,gastric,1
sweating,running,6
sweating,thyroid,3
sweating,temperature,3
sweating,nausea,6
sweating,exercise,1
sweating,thirst,1
sweating,nervousness,4
sweating,hyperhidrosis,3
sweating,anus,2
sweating,itch,3
sweating,dry,1
sweating,nose,2
sweating,vomit,4
sweating,high,2
sweating,dizziness,9
sweating,vision,6
sweating,runny,1
sweating,nasal,1
sweating,exercise,3
sweating,short,4
sweating,headache,9
sweating,fatigue,5
sweating,methadone,2
sweating,drowsiness,1
sweating,weight,6
sweating,stress,4
sweating,lightheadedness,4
sweating,anger,2
sweating,breast,4
sweating,antibiotic,2
sweating,scrape,1
sweating,fingernail,2
sweating,allergy,1
sweating,pneumonia,2
sweating,chronic,1
sweating,head,10
sweating,ears,3
sweating,kidney,2
sweating,disorientation,1
sweating,foot,2
sweating,genitalia,1
sweating,buttocks,1
sweating,thigh,4
sweating,hair,4
sweating,diarrhea,5
sweating,meat,1
sweating,food,1
sweating,armpit,3
sweating,salt,2
sweating,drinking,4
sweating,reaction,1
sweating,treadmill,1
sweating,tongue,2
sweating,family,2
sweating,panic,3
sweating,kyphosis,1
sweating,waist,1
sweating,movement,1
sweating,surgery,1
sweating,mood,1
sweating,hysterectomy,3
sweating,hormone,2
sweating,diabetes,7
sweating,sore,1
sweating,stomach,7
sweating,quit,1
sweating,sperm,1
sweating,sexual,4
sweating,tonsil,2
sweating,abscess,1
sweating,inflammation,1
sweating,concentration,1
sweating,anxiety,2
sweating,fear,2
sweating,hypoglycemia,1
sweating,muscle,4
sweating,flatulence,1
sweating,burn,3
sweating,spine,2
sweating,occupational,1
sweating,boil,1
sweating,irritability,1
sweating,pregnancy,3
sweating,masturbation,2
sweating,finger,3
sweating,pressure,2
sweating,lymph,2
sweating,vagina,3
sweating,yeast,2
sweating,menopause,6
sweating,estrogen,1
sweating,sting,2
sweating,inhaler,1
sweating,swelling,1
sweating,georgia,1
sweating,drowning,1
sweating,drug,1
sweating,cuts,1
sweating,texas,1
sweating,alcoholism,2
sweating,coconut,1
sweating,ammonia,2
sweating,ankle,1
sweating,prostate,1
sweating,prostate,1
sweating,cholesterol,1
sweating,aspirin,1
sweating,ovulation,1
sweating,high,1
sweating,lung,1
sweating,cirrhosis,1
sweating,baby,1
sweating,mucus,1
sweating,liver,1
sweating,numbness,1
sweating,tenderness,1
sweating,virus,1
sweating,heat,1
sweating,popcorn,1
sweating,hunger,1
sweating,erosion,1
sweating,dry,1
sweating,dental,1
sweating,hepatitis,1
sweating,mouth,1
sweating,bad,1
sweating,birth,1
sweating,birth,1
sweating,spasm,1
sweating,urea,1
sweating,nerve,3
sweating,blood,3
sweating,perimenopause,2
sweating,brain,1
sweating,lung,1
sweating,sunburn,1
sweating,toe,1
sweating,wrinkle,1
sweating,heart,1
sweating,echocardiogram,1
sweating,cancer,1
sweating,over,2
sweating,low,1
sweating,spotting,1
sweating,abdominal,1
sweating,penis,1
sweating,poison,1
sweating,pelvis,1
sweating,weight,1
sweating,eyes,2
sweating,piercing,1
sweating,exposure,1
sweating,orange,1
sweating,vaginal,1
sweating,healing,1
sweating,vitamin,1
sweating,throat,1
