source,target,value
swelling,lymph,26
swelling,pain,124
swelling,forearm,4
swelling,emergency,4
swelling,eyes,40
swelling,toddler,2
swelling,sinus,4
swelling,arm,21
swelling,allergy,11
swelling,edema,3
swelling,pregnancy,14
swelling,coldness,8
swelling,throat,17
swelling,tonsil,13
swelling,skin,21
swelling,neck,22
swelling,fibromyalgia,3
swelling,eyelid,7
swelling,leg,44
swelling,foot,53
swelling,morphine,1
swelling,hand,43
swelling,knee,26
swelling,drug,4
swelling,cosmetic,1
swelling,oral,1
swelling,grayness,1
swelling,trauma,2
swelling,fever,15
swelling,breast,12
swelling,sore,3
swelling,vein,5
swelling,pressure,5
swelling,ears,19
swelling,burn,13
swelling,colon,1
swelling,cancer,6
swelling,toe,23
swelling,jaw,4
swelling,antibiotic,13
swelling,tooth,7
swelling,movement,19
swelling,back,2
swelling,migraine,2
swelling,crying,2
swelling,finger,26
swelling,walking,22
swelling,ejaculation,3
swelling,aspirin,1
swelling,urethra,3
swelling,bruise,37
swelling,salt,1
swelling,stomach,17
swelling,ribcage,2
swelling,fatigue,2
swelling,tongue,8
swelling,steroid,4
swelling,platelet,1
swelling,fear,2
swelling,healing,10
swelling,surgery,18
swelling,meniscus,3
swelling,puffiness,5
swelling,drainage,10
swelling,sprain,9
swelling,ankle,38
swelling,insurance,2
swelling,eyeball,4
swelling,astigmatism,1
swelling,vision,25
swelling,blood,4
swelling,collarbone,1
swelling,tenderness,11
swelling,wrist,12
swelling,itch,7
swelling,soup,1
swelling,shin,7
swelling,penis,21
swelling,urination,7
swelling,nose,8
swelling,shingles,3
swelling,hives,5
swelling,welt,1
swelling,sinus,5
swelling,mole,1
swelling,cavity,2
swelling,sting,9
swelling,paralysis,2
swelling,numbness,7
swelling,tumor,1
swelling,cellulitis,3
swelling,scrotum,5
swelling,lump,20
swelling,cyst,5
swelling,liver,4
swelling,injury,11
swelling,inflammation,4
swelling,lip,11
swelling,iron,1
swelling,mouth,6
swelling,breast,2
swelling,short,2
swelling,headache,8
swelling,fracture,8
swelling,diarrhea,3
swelling,testicle,12
swelling,icing,5
swelling,massage,1
swelling,injection,3
swelling,spine,3
swelling,drinking,7
swelling,craniotomy,1
swelling,brain,3
swelling,cats,2
swelling,circumcision,2
swelling,nipple,3
swelling,muscle,8
swelling,breastfeed,1
swelling,breast,1
swelling,hernia,5
swelling,circulation,2
swelling,wart,2
swelling,nostril,2
swelling,period,14
swelling,vaginal,1
swelling,flat,1
swelling,head,20
swelling,eye,1
swelling,osteoarthritis,2
swelling,confusion,1
swelling,heart,3
swelling,dizziness,4
swelling,dog,2
swelling,nerve,4
swelling,genital,2
swelling,lice,1
swelling,ganglion,1
swelling,dry,1
swelling,atopic,1
swelling,tightness,4
swelling,weight,5
swelling,hiatal,1
swelling,cat,1
swelling,waist,1
swelling,exercise,3
swelling,baby,4
swelling,wisdom,3
swelling,h,1
swelling,acne,5
swelling,vagina,8
swelling,nail,4
swelling,ingrown,1
swelling,thumb,4
swelling,physical,1
swelling,splinter,2
swelling,spider,4
swelling,ultrasound,3
swelling,stroke,2
swelling,wound,5
swelling,tonsillitis,1
swelling,ibuprofen,3
swelling,yeast,6
swelling,hemorrhoid,2
swelling,anus,2
swelling,tick,1
swelling,strep,3
swelling,running,4
swelling,lower,2
swelling,lightheadedness,2
swelling,orange,1
swelling,ring,1
swelling,cramps,4
swelling,bloating,2
swelling,deformity,1
swelling,clitoris,3
swelling,blister,3
swelling,thyroid,2
swelling,poisoning,1
swelling,placenta,1
swelling,carpal,1
swelling,index,1
swelling,arthritis,3
swelling,hair,5
swelling,over,3
swelling,palate,1
swelling,canker,1
swelling,tendon,1
swelling,cortisone,2
swelling,food,2
swelling,paranoid,1
swelling,polycystic,1
swelling,hormone,1
swelling,sexual,4
swelling,condom,2
swelling,sty,2
swelling,flu,2
swelling,cough,3
swelling,ear,2
swelling,spit,1
swelling,mucus,3
swelling,elbow,4
swelling,sweating,1
swelling,inhaler,1
swelling,neuropathy,3
swelling,chemotherapy,1
swelling,naproxen,2
swelling,epididymitis,1
swelling,oregon,1
swelling,utah,1
swelling,orgasm,1
swelling,allergic,5
swelling,thigh,9
swelling,sore,3
swelling,knee,1
swelling,kidney,2
swelling,blood,3
swelling,rapid,1
swelling,epiglottitis,1
swelling,ventricle,1
swelling,reaction,3
swelling,rash,3
swelling,peanut,1
swelling,irregularity,2
swelling,birth,1
swelling,osteoporosis,1
swelling,big,4
swelling,sexually,4
swelling,toenail,2
swelling,pelvis,4
swelling,chest,3
swelling,insect,2
swelling,armpit,5
swelling,seizure,2
swelling,lupus,1
swelling,cataract,1
swelling,buttocks,2
swelling,prostate,2
swelling,puberty,1
swelling,high,1
swelling,seeds,1
swelling,pumpkin,1
swelling,molar,1
swelling,splint,2
swelling,hematoma,1
swelling,mastoiditis,1
swelling,smell,4
swelling,magnetic,1
swelling,biopsy,1
swelling,belly,2
swelling,staph,1
swelling,boil,2
swelling,whooping,1
swelling,foreskin,6
swelling,bedbug,1
swelling,hysterectomy,1
swelling,pelvic,1
swelling,grief,1
swelling,food,1
swelling,abdominal,1
swelling,calf,4
swelling,methicillin,1
swelling,fingernail,1
swelling,potassium,1
swelling,lasik,1
swelling,herpes,2
swelling,ear,1
swelling,vertigo,1
swelling,nausea,4
swelling,weakness,3
swelling,insulin,1
swelling,diabetes,3
swelling,stitches,2
swelling,rectum,3
swelling,hearing,1
swelling,grip,1
swelling,amputation,1
swelling,instability,1
swelling,smoking,2
swelling,coffee,1
swelling,tibia,1
swelling,skull,1
swelling,swallow,2
swelling,heart,1
swelling,esophagus,2
swelling,dehydration,1
swelling,meat,2
swelling,colon,1
swelling,cold,1
swelling,family,3
swelling,scarlet,1
swelling,bacterium,3
swelling,shoulder,1
swelling,rheumatoid,3
swelling,bowel,2
swelling,parasite,1
swelling,erection,3
swelling,testicular,1
swelling,stress,2
swelling,masturbation,1
swelling,hair,1
swelling,impetigo,1
swelling,forehead,2
swelling,intestine,2
swelling,sunburn,1
swelling,palpation,1
swelling,ovary,2
swelling,posterior,1
swelling,abscess,1
swelling,urethral,1
swelling,vaginitis,1
swelling,anti,1
swelling,nasal,1
swelling,lymphedema,1
swelling,polyp,1
swelling,diet,1
swelling,asthma,1
