source,target,value
tenderness,pregnancy,27
tenderness,period,31
tenderness,nipple,14
tenderness,breast,54
tenderness,spotting,6
tenderness,bloating,6
tenderness,birth,6
tenderness,exercise,1
tenderness,coffee,2
tenderness,throat,2
tenderness,weight,1
tenderness,chronic,1
tenderness,thumb,2
tenderness,weakness,2
tenderness,wrist,3
tenderness,pelvis,4
tenderness,pain,23
tenderness,lump,10
tenderness,hypothyroidism,1
tenderness,family,2
tenderness,pregnancy,7
tenderness,milk,1
tenderness,ovary,2
tenderness,hysterectomy,1
tenderness,healing,4
tenderness,fear,3
tenderness,stomach,10
tenderness,inhaler,1
tenderness,asthma,1
tenderness,swelling,11
tenderness,movement,4
tenderness,surgery,1
tenderness,bacterium,1
tenderness,wound,1
tenderness,neck,4
tenderness,insurance,4
tenderness,finger,3
tenderness,rash,3
tenderness,dizziness,3
tenderness,sciatica,1
tenderness,leg,7
tenderness,knee,3
tenderness,walking,6
tenderness,vagina,4
tenderness,taste,3
tenderness,tongue,3
tenderness,blister,4
tenderness,ribcage,1
tenderness,muscle,1
tenderness,travel,2
tenderness,nail,1
tenderness,bruise,3
tenderness,big,2
tenderness,toe,2
tenderness,tubal,2
tenderness,waist,1
tenderness,swallow,2
tenderness,sore,2
tenderness,itch,3
tenderness,forehead,1
tenderness,mouth,1
tenderness,head,6
tenderness,stroke,1
tenderness,headache,5
tenderness,liver,2
tenderness,chest,3
tenderness,baby,2
tenderness,inflammation,1
tenderness,gout,1
tenderness,foot,2
tenderness,skin,8
tenderness,thigh,1
tenderness,injection,1
tenderness,drowsiness,3
tenderness,jaw,1
tenderness,ears,2
tenderness,menstrual,1
tenderness,food,3
tenderness,craving,1
tenderness,diarrhea,2
tenderness,sexual,7
tenderness,ovulation,3
tenderness,fibromyalgia,1
tenderness,arm,3
tenderness,bladder,1
tenderness,fatigue,2
tenderness,vomit,2
tenderness,injury,4
tenderness,diabetes,1
tenderness,lymph,4
tenderness,fever,2
tenderness,lip,1
tenderness,herpes,1
tenderness,acne,1
tenderness,miscarriage,1
tenderness,bowel,2
tenderness,stress,1
tenderness,buttocks,1
tenderness,vision,2
tenderness,genital,1
tenderness,rectum,1
tenderness,running,1
tenderness,burn,2
tenderness,sperm,1
tenderness,menopause,2
tenderness,nausea,4
tenderness,birth,1
tenderness,yeast,3
tenderness,lower,1
tenderness,wisdom,1
tenderness,diet,1
tenderness,post,1
tenderness,hiv,1
tenderness,cancer,2
tenderness,ejaculation,1
tenderness,hormone,1
tenderness,cyst,2
tenderness,weight,1
tenderness,antibiotic,3
tenderness,hot,1
tenderness,spine,1
tenderness,skull,1
tenderness,rice,1
tenderness,hair,1
tenderness,penicillin,1
tenderness,crying,1
tenderness,pressure,2
tenderness,bulging,1
tenderness,back,1
tenderness,artery,1
tenderness,constipation,1
tenderness,cheekbones,1
tenderness,blood,1
tenderness,urination,1
tenderness,testicle,2
tenderness,incontinence,1
tenderness,vertigo,1
tenderness,sweating,1
tenderness,numbness,1
tenderness,dry,1
tenderness,drainage,3
tenderness,vaginal,1
tenderness,cramps,2
tenderness,irregularity,1
tenderness,calf,2
tenderness,ankle,1
tenderness,emergency,1
tenderness,instability,1
tenderness,armpit,1
tenderness,hand,3
tenderness,boil,1
tenderness,tooth,1
tenderness,elbow,1
tenderness,shingles,1
tenderness,erection,1
tenderness,corpulence,1
tenderness,hematoma,1
tenderness,abscess,1
tenderness,puffiness,1
tenderness,genitalia,1
tenderness,eyes,1
tenderness,mood,1
tenderness,uterus,1
