source,target,value
throat,itch,4
throat,cough,26
throat,swelling,17
throat,pregnancy,3
throat,coldness,22
throat,tonsil,16
throat,food,15
throat,esophagus,2
throat,skin,1
throat,taste,5
throat,mucus,13
throat,tenderness,2
throat,exercise,2
throat,coffee,2
throat,weight,2
throat,immune,2
throat,food,1
throat,blister,2
throat,antibiotic,22
throat,sore,22
throat,nose,19
throat,mouth,17
throat,allergy,7
throat,neck,13
throat,ears,21
throat,ear,1
throat,tooth,6
throat,spitting,2
throat,sinus,14
throat,head,8
throat,eyes,7
throat,amoxicillin,2
throat,running,5
throat,knee,1
throat,heart,3
throat,hand,5
throat,rice,1
throat,tongue,8
throat,jaw,6
throat,steroid,4
throat,lymph,4
throat,reaction,3
throat,anxiety,2
throat,anaphylactic,1
throat,pain,28
throat,endoscopy,3
throat,chest,9
throat,headache,8
throat,fatigue,1
throat,virus,5
throat,corpulence,1
throat,milk,1
throat,insurance,2
throat,drinking,12
throat,tea,3
throat,quit,2
throat,pressure,4
throat,lump,5
throat,finger,1
throat,canker,2
throat,shoulder,1
throat,biopsy,2
throat,thyroid,1
throat,wart,1
throat,lung,3
throat,salt,2
throat,swallow,16
throat,shingles,1
throat,rash,2
throat,fever,13
throat,sore,1
throat,foot,1
throat,painkiller,1
throat,lightheadedness,1
throat,penicillin,6
throat,diarrhea,2
throat,cyst,2
throat,flu,3
throat,thyroid,4
throat,burn,10
throat,aloe,1
throat,temperature,2
throat,kidney,1
throat,drug,1
throat,tightness,4
throat,vision,10
throat,nipple,1
throat,heartburn,5
throat,ulcer,1
throat,pasta,1
throat,spit,3
throat,leg,3
throat,arm,4
throat,hiatal,1
throat,emergency,2
throat,dairy,1
throat,cats,1
throat,cat,1
throat,surgery,2
throat,spinal,1
throat,hoarseness,2
throat,pneumonia,1
throat,methicillin,1
throat,wisdom,1
throat,thrush,4
throat,wrist,1
throat,drowsiness,2
throat,talc,1
throat,baby,1
throat,shoulder,1
throat,nausea,2
throat,welt,1
throat,hiv,1
throat,migraine,1
throat,ibuprofen,1
throat,healing,2
throat,sinus,2
throat,rhinitis,2
throat,reflex,1
throat,vomit,3
throat,period,4
throat,movement,4
throat,walking,1
throat,stomach,4
throat,meal,1
throat,larynx,1
throat,muscle,3
throat,staph,1
throat,honey,1
throat,thigh,2
throat,multivitamin,1
throat,urethra,2
throat,sexual,1
throat,hair,1
throat,hives,1
throat,epinephrine,1
throat,dizziness,1
throat,hike,1
throat,pregnancy,1
throat,fear,4
throat,condom,2
throat,drainage,3
throat,vegetable,1
throat,intestine,1
throat,digestive,1
throat,nostril,1
throat,choking,3
throat,strep,6
throat,rapid,1
throat,epiglottitis,1
throat,fish,1
throat,bruise,1
throat,blood,2
throat,allergic,1
throat,exposure,2
throat,lung,1
throat,nervousness,1
throat,tracheotomy,1
throat,bacterium,2
throat,cold,2
throat,turkey,1
throat,cancer,7
throat,panic,1
throat,nightmare,1
throat,asthma,1
throat,pharyngitis,3
throat,whooping,1
throat,inflammation,2
throat,spasm,2
throat,cramps,1
throat,calcium,1
throat,aspiration,1
throat,grape,1
throat,runny,3
throat,hunger,1
throat,lip,1
throat,smoking,1
throat,tonsillitis,1
throat,weakness,1
throat,pea,1
throat,ginger,1
throat,sleep,1
throat,trachea,1
throat,stress,1
throat,diet,1
throat,cold,1
throat,prostate,1
throat,ejaculation,1
throat,mold,1
throat,ear,1
throat,adenoidectomy,1
throat,post,1
throat,restlessness,1
throat,polyp,1
throat,tumor,2
throat,plaque,1
throat,family,1
throat,menopause,1
throat,sexually,1
throat,mononucleosis,1
throat,pulse,1
throat,cavity,1
throat,thirst,1
throat,dry,2
throat,urination,1
throat,erectile,1
throat,pancreatic,1
throat,immunotherapy,1
throat,inhaler,1
throat,vagina,1
throat,sweating,1
