source,target,value
tooth,baby,10
tooth,charcot,1
tooth,pain,36
tooth,lip,8
tooth,burn,1
tooth,supplement,2
tooth,penicillin,4
tooth,insurance,7
tooth,infection,2
tooth,mouth,16
tooth,tongue,9
tooth,scrape,1
tooth,vision,7
tooth,dental,10
tooth,multivitamin,2
tooth,fracture,2
tooth,eyes,1
tooth,over,3
tooth,tooth,2
tooth,bad,1
tooth,iron,3
tooth,injury,3
tooth,pregnancy,6
tooth,grayness,1
tooth,molar,6
tooth,cavity,8
tooth,nerve,3
tooth,diabetic,1
tooth,diabetes,1
tooth,x,5
tooth,drinking,10
tooth,soda,5
tooth,systemic,1
tooth,bacterium,1
tooth,period,4
tooth,drug,5
tooth,sinus,8
tooth,polyp,1
tooth,nose,3
tooth,family,1
tooth,calcium,1
tooth,salt,4
tooth,almond,1
tooth,skin,4
tooth,food,9
tooth,coffee,1
tooth,finger,2
tooth,dental,1
tooth,antidepressant,1
tooth,healing,6
tooth,blister,1
tooth,bruxism,1
tooth,piercing,1
tooth,erosion,1
tooth,jaw,11
tooth,fibromyalgia,1
tooth,cheekbones,1
tooth,coldness,6
tooth,stomach,6
tooth,toothache,7
tooth,head,3
tooth,ears,12
tooth,throat,6
tooth,neck,6
tooth,ear,2
tooth,swelling,7
tooth,antibiotic,15
tooth,nausea,3
tooth,craving,1
tooth,breast,2
tooth,pressure,4
tooth,tightness,1
tooth,cramps,1
tooth,spine,1
tooth,running,1
tooth,hike,1
tooth,back,1
tooth,heart,1
tooth,walking,2
tooth,eardrum,1
tooth,sting,1
tooth,smell,2
tooth,itch,1
tooth,dizziness,1
tooth,wisdom,7
tooth,oral,1
tooth,surgery,3
tooth,drainage,1
tooth,drowsiness,1
tooth,injection,1
tooth,flu,1
tooth,pulse,1
tooth,cough,3
tooth,blood,1
tooth,sexual,2
tooth,ejaculation,1
tooth,swallow,4
tooth,sore,1
tooth,ulcer,1
tooth,cold,2
tooth,wound,1
tooth,kidney,1
tooth,fear,2
tooth,emergency,1
tooth,dog,3
tooth,sinus,1
tooth,yeast,1
tooth,oil,2
tooth,broken,1
tooth,lemon,1
tooth,juice,1
tooth,vitamin,1
tooth,lump,3
tooth,heartburn,1
tooth,nervousness,1
tooth,acne,1
tooth,amoxicillin,2
tooth,taste,3
tooth,tooth,1
tooth,allergy,2
tooth,sleepiness,1
tooth,orange,1
tooth,gallbladder,1
tooth,hair,1
tooth,brain,1
tooth,abscess,2
tooth,hand,2
tooth,vertigo,1
tooth,jelly,1
tooth,spotting,1
tooth,graft,1
tooth,hemoglobin,1
tooth,smoking,3
tooth,lymph,2
tooth,migraine,1
tooth,yogurt,1
tooth,headache,1
tooth,bruise,1
tooth,pregnancy,1
tooth,hormone,1
tooth,stitches,2
tooth,pain,1
tooth,spit,1
tooth,temperature,1
tooth,rash,1
tooth,irregularity,1
tooth,chest,1
tooth,milk,1
tooth,breastfeed,1
tooth,birth,1
tooth,tonsil,1
tooth,herpes,1
tooth,fever,2
tooth,stress,1
tooth,hydrogen,1
tooth,penis,1
tooth,diarrhea,1
tooth,anus,1
tooth,tenderness,1
tooth,esophageal,1
tooth,inflammation,1
tooth,colitis,1
tooth,cat,1
tooth,movement,1
tooth,medicaid,1
tooth,long,1
tooth,infant,1
tooth,cellulitis,1
tooth,middle,1
tooth,ear,1
tooth,sodium,1
tooth,diet,1
tooth,drug,1
tooth,rabies,1
tooth,pets,1
tooth,feeding,1
tooth,high,1
tooth,hip,1
