source,target,value
urination,vagina,15
urination,weight,2
urination,masturbation,6
urination,smell,11
urination,pregnancy,15
urination,pelvic,1
urination,cyst,2
urination,bowel,4
urination,urethra,8
urination,pain,53
urination,coldness,4
urination,anxiety,1
urination,bladder,13
urination,testicle,8
urination,walking,3
urination,kidney,9
urination,antibiotic,10
urination,fever,9
urination,testosterone,2
urination,surgery,7
urination,stent,1
urination,leg,3
urination,food,4
urination,dizziness,1
urination,weight,1
urination,swelling,7
urination,stomach,6
urination,vision,6
urination,prostate,2
urination,itch,2
urination,milk,2
urination,drinking,16
urination,fear,3
urination,family,1
urination,cervical,1
urination,virus,1
urination,pregnancy,5
urination,genitalia,2
urination,ejaculation,13
urination,sexual,14
urination,gonorrhea,1
urination,period,12
urination,std,1
urination,penis,24
urination,headache,6
urination,turkey,1
urination,oatmeal,1
urination,nausea,4
urination,movement,6
urination,muscle,1
urination,short,2
urination,running,2
urination,exercise,2
urination,corpulence,3
urination,vomit,2
urination,burn,24
urination,ultrasound,1
urination,sexually,6
urination,ovary,2
urination,spotting,5
urination,healing,1
urination,hair,2
urination,anus,2
urination,pressure,7
urination,vaginal,3
urination,polycystic,1
urination,orange,1
urination,endometriosis,1
urination,skin,4
urination,irritable,1
urination,diarrhea,2
urination,weakness,1
urination,gallbladder,1
urination,kidney,6
urination,flour,1
urination,mucus,2
urination,egg,2
urination,birth,1
urination,hip,1
urination,thirst,6
urination,high,1
urination,sting,2
urination,condom,1
urination,menopause,1
urination,chlamydia,2
urination,toddler,1
urination,protein,1
urination,spit,1
urination,emergency,1
urination,catheter,3
urination,erection,3
urination,tightness,1
urination,bloating,1
urination,birth,2
urination,irregularity,1
urination,bacterial,2
urination,numbness,3
urination,herpes,1
urination,fatigue,2
urination,baby,2
urination,stitches,1
urination,circumcision,1
urination,orgasm,2
urination,over,1
urination,clitoris,1
urination,yeast,4
urination,abdominal,2
urination,coffee,3
urination,scar,2
urination,appendectomy,1
urination,drowsiness,1
urination,caffeine,1
urination,lemon,1
urination,diet,1
urination,congestive,1
urination,cancer,4
urination,waist,1
urination,hand,1
urination,tampon,2
urination,cramps,2
urination,mouth,3
urination,injury,1
urination,bruise,2
urination,hernia,1
urination,back,3
urination,constipation,2
urination,x,1
urination,ovulation,1
urination,paranoid,2
urination,oxygen,1
urination,hyperventilation,1
urination,heart,2
urination,tenderness,1
urination,allergy,1
urination,urinalysis,1
urination,salt,1
urination,ankle,1
urination,lump,1
urination,genital,1
urination,cold,1
urination,tremor,1
urination,hernia,1
urination,belly,2
urination,shoulder,1
urination,diabetes,2
urination,thumb,2
urination,meditation,2
urination,ammonia,1
urination,sore,1
urination,head,2
urination,vitamin,1
urination,prostatitis,1
urination,anti,1
urination,prostate,1
urination,appendix,1
urination,supplement,2
urination,potassium,1
urination,iron,1
urination,anemia,1
urination,wart,1
urination,lip,1
urination,oil,1
urination,massage,1
urination,balanitis,1
urination,bladder,1
urination,arm,1
urination,soda,1
urination,sperm,3
urination,foreskin,1
urination,yeast,1
urination,throat,1
urination,dry,1
urination,inflammation,1
urination,rectum,1
urination,fistula,1
urination,feeding,1
urination,cats,1
