source,target,value
vagina,sexual,65
vagina,muscle,4
vagina,exercise,3
vagina,plastic,1
vagina,urination,15
vagina,weight,3
vagina,menopause,6
vagina,pregnancy,65
vagina,overactive,1
vagina,incontinence,2
vagina,birth,4
vagina,chlamydia,3
vagina,pain,46
vagina,supplement,1
vagina,post,3
vagina,indigestion,1
vagina,atrophy,2
vagina,period,56
vagina,irregularity,8
vagina,condom,18
vagina,abdominal,3
vagina,thigh,5
vagina,lip,25
vagina,hair,9
vagina,dry,1
vagina,ejaculation,31
vagina,crying,1
vagina,shaving,5
vagina,pea,3
vagina,mole,1
vagina,itch,15
vagina,spotting,8
vagina,ovary,6
vagina,prenatal,1
vagina,jelly,3
vagina,anus,13
vagina,vitamin,1
vagina,smell,26
vagina,molar,1
vagina,drug,6
vagina,amoxicillin,3
vagina,lung,1
vagina,esophagus,1
vagina,chest,2
vagina,yeast,8
vagina,burn,31
vagina,bacterium,13
vagina,yeast,28
vagina,taste,1
vagina,skin,18
vagina,finger,14
vagina,screening,1
vagina,clitoris,8
vagina,scabies,4
vagina,penis,32
vagina,orgasm,11
vagina,herpes,16
vagina,baby,4
vagina,ultrasound,5
vagina,vision,18
vagina,hand,13
vagina,lump,8
vagina,nipple,2
vagina,flashback,1
vagina,wart,2
vagina,rash,9
vagina,oral,1
vagina,short,1
vagina,drinking,1
vagina,blister,11
vagina,sperm,13
vagina,nose,1
vagina,eyes,1
vagina,allergy,1
vagina,tampon,10
vagina,back,2
vagina,scar,2
vagina,healing,5
vagina,wound,1
vagina,vaginal,2
vagina,epidural,1
vagina,abscess,1
vagina,tenderness,4
vagina,confusion,5
vagina,head,3
vagina,fever,6
vagina,foot,2
vagina,antibiotic,11
vagina,walking,4
vagina,hormone,3
vagina,perimenopause,1
vagina,milk,1
vagina,urethra,1
vagina,cyst,10
vagina,ulcer,1
vagina,soda,1
vagina,juice,1
vagina,cranberry,1
vagina,yogurt,2
vagina,skin,1
vagina,surgery,9
vagina,blood,2
vagina,exposure,1
vagina,fertility,1
vagina,drug,1
vagina,uterus,7
vagina,blood,3
vagina,polycystic,1
vagina,pelvic,2
vagina,sting,1
vagina,sexually,10
vagina,genital,8
vagina,acne,5
vagina,foreskin,2
vagina,fear,7
vagina,coldness,1
vagina,diet,3
vagina,hysterectomy,10
vagina,masturbation,15
vagina,erection,2
vagina,rectum,2
vagina,abortion,1
vagina,breast,1
vagina,cramps,3
vagina,mucus,4
vagina,swelling,8
vagina,insurance,5
vagina,birth,10
vagina,walnut,1
vagina,endometrial,1
vagina,vinegar,2
vagina,ammonia,2
vagina,nervousness,1
vagina,meat,1
vagina,genitalia,6
vagina,nausea,2
vagina,fatigue,1
vagina,bloating,2
vagina,pap,1
vagina,over,2
vagina,smoking,1
vagina,delayed,1
vagina,injection,1
vagina,depo,1
vagina,mouth,9
vagina,cervix,7
vagina,coffee,2
vagina,pregnancy,4
vagina,ovulation,2
vagina,hymen,3
vagina,hot,1
vagina,bladder,4
vagina,pressure,3
vagina,epidermal,1
vagina,sweating,3
vagina,kidney,1
vagina,arm,1
vagina,acetaminophen,1
vagina,electrogastrogram,1
vagina,shingles,3
vagina,boil,3
vagina,pelvis,3
vagina,bowel,4
vagina,vasectomy,3
vagina,lubricants,2
vagina,movement,6
vagina,reaction,3
vagina,endometriosis,1
vagina,dizziness,1
vagina,diaphragm,1
vagina,birth,1
vagina,cold,2
vagina,bacterial,2
vagina,swallow,1
vagina,pelvic,1
vagina,drainage,2
vagina,cuts,1
vagina,toe,1
vagina,tightness,2
vagina,hunger,1
vagina,grief,1
vagina,leg,6
vagina,travel,1
vagina,miscarriage,2
vagina,headache,1
vagina,libido,5
vagina,hemorrhoid,2
vagina,hemmorhoid,1
vagina,constipation,1
vagina,liposuction,1
vagina,infertility,1
vagina,family,1
vagina,corpulence,2
vagina,sore,6
vagina,flu,1
vagina,paranoid,2
vagina,worm,1
vagina,organ,1
vagina,gender,1
vagina,anatomy,1
vagina,physical,1
vagina,stomach,3
vagina,workout,1
vagina,hiv,1
vagina,onion,1
vagina,scrape,1
vagina,virus,1
vagina,vaginitis,4
vagina,breast,2
vagina,vomit,1
vagina,weakness,1
vagina,pneumonia,1
vagina,bronchitis,1
vagina,cancer,2
vagina,biopsy,2
vagina,human,1
vagina,vaginal,1
vagina,protein,1
vagina,puffiness,2
vagina,fistula,1
vagina,polyp,1
vagina,colon,1
vagina,heel,1
vagina,allergic,2
vagina,weight,1
vagina,deformity,1
vagina,estrogen,3
vagina,massage,1
vagina,forearm,1
vagina,height,1
vagina,tongue,1
vagina,thyroid,1
vagina,infant,1
vagina,vaginal,1
vagina,fish,1
vagina,third,1
vagina,orange,1
vagina,salpingectomy,1
vagina,menstrual,1
vagina,breastfeed,1
vagina,hormone,1
vagina,nail,1
vagina,adolescent,1
vagina,kidney,1
vagina,sinus,1
vagina,injury,1
vagina,spasm,1
vagina,throat,1
vagina,inhaler,1
vagina,endoscopy,1
vagina,food,1
vagina,feeding,1
vagina,cats,1
