source,target,value
virus,genital,6
virus,swine,2
virus,family,5
virus,herpes,18
virus,hepatitis,1
virus,urinary,1
virus,tonsil,3
virus,strep,2
virus,newborn,1
virus,rash,2
virus,nose,3
virus,impetigo,1
virus,bacterium,6
virus,hemmorhoid,1
virus,penis,2
virus,cancer,3
virus,wart,4
virus,chickenpox,1
virus,pregnancy,3
virus,period,1
virus,menopause,1
virus,flu,7
virus,sinus,1
virus,cough,2
virus,collapsed,1
virus,asthma,2
virus,stomach,12
virus,diarrhea,6
virus,vision,3
virus,surgery,4
virus,throat,5
virus,sore,4
virus,headache,3
virus,fatigue,1
virus,stress,1
virus,muscle,2
virus,heart,1
virus,fever,5
virus,pharyngitis,3
virus,sexual,5
virus,condom,2
virus,hand,2
virus,dog,1
virus,urination,1
virus,cervical,2
virus,ears,3
virus,bowel,2
virus,movement,2
virus,walking,2
virus,mouth,4
virus,shingles,7
virus,ibuprofen,2
virus,cold,2
virus,antibiotic,3
virus,knee,1
virus,cold,5
virus,food,3
virus,injection,1
virus,exposure,2
virus,drowsiness,1
virus,human,1
virus,pink,1
virus,blindness,1
virus,head,2
virus,dizziness,1
virus,concussion,1
virus,vomit,4
virus,drainage,1
virus,allergy,1
virus,healing,1
virus,blood,5
virus,oral,1
virus,flatulence,1
virus,long,1
virus,temperature,1
virus,lip,1
virus,coldness,7
virus,smell,1
virus,masturbation,1
virus,hiv,1
virus,pain,5
virus,breast,2
virus,arm,1
virus,viral,1
virus,pneumonia,2
virus,menieres,1
virus,foreskin,1
virus,ringworm,1
virus,immunization,3
virus,blister,3
virus,eyes,1
virus,tinnitus,1
virus,nausea,1
virus,hepatitis,2
virus,liver,2
virus,weakness,3
virus,mucus,1
virus,leg,2
virus,bronchitis,2
virus,running,1
virus,sweating,1
virus,eardrum,1
virus,vaginal,1
virus,yeast,1
virus,vaccination,3
virus,immune,2
virus,skin,1
virus,buttocks,1
virus,herpes,1
virus,neck,1
virus,metastasis,1
virus,lymph,2
virus,sinus,2
virus,penicillin,1
virus,narcolepsy,1
virus,ulcer,1
virus,vaginal,1
virus,vagina,1
virus,sunflower,1
virus,spit,1
virus,chest,1
virus,burn,1
virus,nerve,1
virus,massage,1
virus,nervousness,1
virus,hives,1
virus,gallbladder,1
virus,peanut,1
virus,swelling,1
virus,travel,1
virus,infant,1
virus,inflammation,1
virus,carpal,1
virus,wrist,1
virus,milk,1
