source,target,value
vision,weight,6
vision,wart,2
vision,pain,97
vision,over,5
vision,insomnia,2
vision,drug,12
vision,diet,1
vision,aloe,1
vision,wound,4
vision,urinary,3
vision,amoxicillin,1
vision,skin,1
vision,mole,3
vision,insurance,19
vision,tattoo,1
vision,skin,38
vision,itch,15
vision,injection,9
vision,burn,15
vision,rash,9
vision,menopause,1
vision,surgery,12
vision,eyes,78
vision,travelers,1
vision,diarrhea,12
vision,antibiotic,12
vision,stress,12
vision,diabetes,12
vision,stent,3
vision,chest,17
vision,tooth,7
vision,tongue,8
vision,scrape,1
vision,exercise,14
vision,diet,14
vision,blood,3
vision,pregnancy,50
vision,baby,7
vision,whooping,1
vision,attention,3
vision,anti,1
vision,acne,4
vision,wrinkle,2
vision,benign,1
vision,medicare,1
vision,coughing,1
vision,turkey,2
vision,coldness,18
vision,spotting,11
vision,running,13
vision,nausea,14
vision,dizziness,18
vision,pregnancy,12
vision,period,61
vision,stomach,27
vision,enema,1
vision,back,9
vision,walking,21
vision,lung,4
vision,x,2
vision,ultrasound,17
vision,hernia,3
vision,cyst,6
vision,lens,4
vision,toothache,1
vision,nerve,8
vision,depo,1
vision,herpes,8
vision,allergic,3
vision,nail,5
vision,hike,2
vision,big,3
vision,anxiety,6
vision,pressure,9
vision,ears,27
vision,blood,16
vision,nose,9
vision,coffee,3
vision,wheat,1
vision,shoulder,9
vision,ibuprofen,4
vision,arm,20
vision,fear,17
vision,condom,5
vision,buttocks,2
vision,short,7
vision,sexual,23
vision,ovulation,5
vision,depression,9
vision,antidepressant,5
vision,virus,3
vision,shoulder,2
vision,neck,15
vision,muscle,11
vision,cough,12
vision,sprain,3
vision,ankle,3
vision,heart,14
vision,cats,7
vision,catheterization,1
vision,penicillin,2
vision,hydrogen,2
vision,wrist,5
vision,tampon,6
vision,masturbation,13
vision,hand,18
vision,scoliosis,2
vision,tinnitus,3
vision,lightheadedness,7
vision,morphine,1
vision,insulin,1
vision,dementia,2
vision,constipation,1
vision,pelvis,4
vision,weight,16
vision,palpitation,1
vision,asthma,2
vision,vagina,18
vision,appendix,2
vision,scrotum,5
vision,leg,22
vision,knee,7
vision,boil,3
vision,sore,5
vision,cancer,10
vision,swelling,25
vision,eyeball,6
vision,astigmatism,1
vision,rectum,3
vision,puncture,1
vision,drainage,2
vision,paranoid,4
vision,aids,1
vision,head,29
vision,toe,5
vision,healing,10
vision,drinking,17
vision,bruise,10
vision,meal,5
vision,calorie,4
vision,ovary,2
vision,hormone,5
vision,estrogen,2
vision,nervousness,5
vision,bipolar,4
vision,eyelid,5
vision,neurological,1
vision,kidney,6
vision,infant,3
vision,ulcer,2
vision,pulse,3
vision,irregularity,3
vision,eyebrow,3
vision,urination,6
vision,jaw,6
vision,stroke,5
vision,organ,4
vision,steroid,3
vision,cornea,1
vision,yeast,5
vision,vaccination,1
vision,fever,16
vision,flu,7
vision,bladder,3
vision,headache,33
vision,migraine,9
vision,lice,1
vision,lithotripsy,1
vision,grief,4
vision,vision,1
vision,tumor,3
vision,trigeminal,1
vision,suicide,1
vision,tightness,4
vision,lemon,1
vision,movement,30
vision,worm,5
vision,confusion,4
vision,yeast,2
vision,food,10
vision,lip,8
vision,iron,2
vision,sweating,6
vision,heart,1
vision,family,18
vision,echocardiogram,2
vision,abdominal,2
vision,foot,17
vision,pork,1
vision,parasite,2
vision,bacterium,5
vision,pink,4
vision,cold,2
vision,brain,3
vision,staph,1
vision,bone,1
vision,blood,12
vision,heart,1
vision,cardiovascular,1
vision,endoscopy,2
vision,colonoscopy,3
vision,biopsy,5
vision,paraplegia,1
vision,pelvic,2
vision,cramps,6
vision,birth,17
vision,emergency,4
vision,penis,24
vision,hair,8
vision,anus,3
vision,taste,3
vision,mouth,5
vision,wisdom,2
vision,honey,1
vision,lump,15
vision,hallucination,4
vision,thumb,1
vision,pea,5
vision,vomit,10
vision,ear,2
vision,genitalia,3
vision,freckle,1
vision,tendinitis,1
vision,magnetic,6
vision,bursitis,1
vision,vein,6
vision,foreskin,7
vision,canker,3
vision,cataract,3
vision,tonsil,5
vision,throat,10
vision,dog,8
vision,artery,2
vision,radish,1
vision,ejaculation,5
vision,thyroid,5
vision,oatmeal,2
vision,dry,1
vision,atopic,2
vision,swallow,3
vision,breast,3
vision,weakness,7
vision,smoking,1
vision,wine,1
vision,testicle,6
vision,metabolism,1
vision,blister,4
vision,high,6
vision,molar,1
vision,reaction,3
vision,sting,2
vision,breast,14
vision,smell,7
vision,clitoris,5
vision,keratosis,1
vision,sinus,2
vision,allergy,6
vision,erection,7
vision,finger,11
vision,torso,2
vision,plant,1
vision,cholesterol,3
vision,nail,1
vision,sinus,5
vision,raspberry,1
vision,narcotic,1
vision,fibromyalgia,2
vision,fetus,1
vision,hemorrhoid,1
vision,crohns,1
vision,abscess,1
vision,nipple,5
vision,scalp,2
vision,benign,1
vision,macular,1
