source,target,value
vitamin,muscle,2
vitamin,cramps,2
vitamin,coldness,5
vitamin,cold,1
vitamin,heartburn,1
vitamin,pregnancy,5
vitamin,supplement,7
vitamin,reaction,2
vitamin,ginseng,1
vitamin,drug,6
vitamin,calcium,2
vitamin,drowsiness,2
vitamin,birth,2
vitamin,birth,1
vitamin,pain,4
vitamin,fatigue,2
vitamin,diabetes,2
vitamin,sodium,1
vitamin,immune,2
vitamin,multivitamin,7
vitamin,vagina,1
vitamin,prenatal,3
vitamin,jelly,1
vitamin,anus,1
vitamin,vitamin,1
vitamin,beta,1
vitamin,over,2
vitamin,food,8
vitamin,ejaculation,1
vitamin,protein,1
vitamin,puberty,1
vitamin,height,1
vitamin,taste,1
vitamin,mouth,1
vitamin,headache,2
vitamin,macular,1
vitamin,injection,1
vitamin,eyes,1
vitamin,high,1
vitamin,stroke,1
vitamin,memory,1
vitamin,brain,1
vitamin,blood,1
vitamin,low,1
vitamin,anemia,2
vitamin,drug,1
vitamin,vitamin,4
vitamin,pain,1
vitamin,methadone,2
vitamin,drug,2
vitamin,heel,2
vitamin,foot,3
vitamin,trauma,1
vitamin,neuropathy,1
vitamin,depression,1
vitamin,b12,6
vitamin,cyst,1
vitamin,breast,1
vitamin,oil,2
vitamin,magnesium,1
vitamin,fish,2
vitamin,zinc,3
vitamin,coffee,1
vitamin,thyroid,2
vitamin,hair,4
vitamin,blood,2
vitamin,baldness,1
vitamin,exercise,1
vitamin,yoga,1
vitamin,restless,1
vitamin,leg,3
vitamin,herb,1
vitamin,stomach,4
vitamin,tooth,1
vitamin,nose,1
vitamin,spine,1
vitamin,scoliosis,1
vitamin,milk,1
vitamin,magnetic,1
vitamin,niacin,2
vitamin,cholesterol,1
vitamin,burn,2
vitamin,diet,4
vitamin,walking,1
vitamin,drinking,1
vitamin,knee,1
vitamin,ankle,1
vitamin,alzheimers,1
vitamin,omega,1
vitamin,insurance,1
vitamin,small,1
vitamin,healing,1
vitamin,testosterone,3
vitamin,corpulence,1
vitamin,weight,1
vitamin,weight,1
vitamin,intrauterine,1
vitamin,ibuprofen,2
vitamin,caffeine,1
vitamin,surgery,5
vitamin,blood,1
vitamin,weakness,1
vitamin,stress,2
vitamin,period,2
vitamin,finger,2
vitamin,yeast,2
vitamin,baby,1
vitamin,tampon,1
vitamin,meal,1
vitamin,large,1
vitamin,skin,6
vitamin,nail,1
vitamin,iron,1
vitamin,bladder,1
vitamin,back,1
vitamin,sperm,1
vitamin,peripheral,1
vitamin,hand,2
vitamin,liver,1
vitamin,shingles,2
vitamin,menopause,3
vitamin,hormone,1
vitamin,wart,1
vitamin,bipolar,1
vitamin,boil,1
vitamin,vision,1
vitamin,steroid,1
vitamin,fingernail,1
vitamin,exercise,1
vitamin,bradycardia,1
vitamin,tongue,2
vitamin,infertility,1
vitamin,toddler,2
vitamin,family,1
vitamin,weight,1
vitamin,osteoporosis,1
vitamin,osteopenia,1
vitamin,tobacco,1
vitamin,vegetable,1
vitamin,running,1
vitamin,fruit,3
vitamin,tinnitus,1
vitamin,ears,1
vitamin,gastric,2
vitamin,systemic,1
vitamin,lupus,1
vitamin,vitamin,1
vitamin,potassium,1
vitamin,iron,2
vitamin,multivitamins,1
vitamin,gallstone,1
vitamin,urination,1
vitamin,smell,1
vitamin,head,1
vitamin,insect,1
vitamin,estrogen,1
vitamin,diverticulitis,1
vitamin,adrenal,1
vitamin,sweating,1
vitamin,dehydration,1
vitamin,blood,1
vitamin,nostril,1
vitamin,dizziness,1
vitamin,acne,1
