source,target,value
vomit,nausea,35
vomit,over,2
vomit,diarrhea,25
vomit,pregnancy,17
vomit,stomach,36
vomit,strep,1
vomit,penicillin,3
vomit,hives,2
vomit,electrogastrogram,2
vomit,dairy,1
vomit,ultrasound,2
vomit,nervousness,1
vomit,gallbladder,1
vomit,surgery,2
vomit,gastric,2
vomit,insulin,1
vomit,drinking,14
vomit,sore,1
vomit,cough,5
vomit,baby,3
vomit,diabetes,2
vomit,celiac,1
vomit,stress,2
vomit,period,10
vomit,yeast,1
vomit,sleepiness,1
vomit,fever,25
vomit,coffee,2
vomit,food,3
vomit,temperature,1
vomit,pain,29
vomit,neck,2
vomit,headache,12
vomit,chest,3
vomit,breast,9
vomit,dizziness,5
vomit,brain,1
vomit,aneurysm,1
vomit,sweating,4
vomit,nose,3
vomit,hot,3
vomit,coldness,6
vomit,feeding,4
vomit,running,5
vomit,nerve,1
vomit,abdominal,5
vomit,morning,4
vomit,heartburn,2
vomit,urination,2
vomit,gastroenteritis,2
vomit,bowel,4
vomit,heart,2
vomit,back,5
vomit,severe,1
vomit,vision,10
vomit,injection,1
vomit,flu,4
vomit,drowsiness,1
vomit,spit,1
vomit,exercise,1
vomit,taste,4
vomit,hearing,1
vomit,wrist,1
vomit,hand,1
vomit,cat,1
vomit,tenderness,2
vomit,fatigue,4
vomit,bloating,4
vomit,pupil,1
vomit,eyes,2
vomit,attention,1
vomit,food,10
vomit,cramps,7
vomit,virus,4
vomit,head,5
vomit,concussion,2
vomit,first,1
vomit,leg,3
vomit,fish,1
vomit,arm,2
vomit,ulcer,2
vomit,tightness,1
vomit,lightheadedness,2
vomit,allergy,1
vomit,skin,1
vomit,weight,1
vomit,throat,3
vomit,spitting,1
vomit,reflex,1
vomit,jaw,1
vomit,fear,2
vomit,premenstrual,1
vomit,endoscopy,3
vomit,colonoscopy,2
vomit,appendix,1
vomit,oxycodone,2
vomit,drug,1
vomit,meal,3
vomit,insurance,1
vomit,dog,3
vomit,antibiotic,2
vomit,smell,5
vomit,mucus,5
vomit,corpulence,1
vomit,pressure,2
vomit,crying,2
vomit,sexual,2
vomit,orgasm,1
vomit,fiber,1
vomit,cats,1
vomit,chronic,1
vomit,texas,1
vomit,cuts,1
vomit,hiatal,1
vomit,supplement,1
vomit,cereal,2
vomit,zinc,1
vomit,low,1
vomit,pelvic,1
vomit,shaving,1
vomit,armpit,1
vomit,tongue,2
vomit,cold,2
vomit,ear,1
vomit,yogurt,2
vomit,sinus,2
vomit,thrush,1
vomit,vertigo,1
vomit,movement,5
vomit,dehydration,1
vomit,weakness,5
vomit,pain,1
vomit,belly,2
vomit,vagina,1
vomit,sore,1
vomit,mouth,2
vomit,thirst,1
vomit,spasm,1
vomit,tonsil,1
vomit,hunger,2
vomit,family,1
vomit,cancer,1
vomit,alcoholism,1
vomit,oxygen,1
vomit,uterus,1
vomit,rectum,1
vomit,ketchup,1
vomit,fruit,1
vomit,emergency,1
vomit,birth,3
vomit,abortion,1
vomit,walking,1
vomit,weight,1
vomit,tampon,1
vomit,menstrual,1
vomit,hepatitis,1
vomit,seizure,1
vomit,anxiety,1
vomit,mint,1
vomit,depression,1
vomit,milk,1
vomit,gallstone,1
vomit,burn,1
vomit,drainage,1
vomit,liver,1
