source,target,value
walking,pain,91
walking,leg,52
walking,drug,2
walking,poison,1
walking,itch,3
walking,dog,7
walking,dizziness,17
walking,injury,9
walking,anterior,1
walking,parkinsons,1
walking,foot,69
walking,heel,14
walking,calf,10
walking,blister,4
walking,vision,21
walking,stomach,10
walking,enema,1
walking,back,7
walking,injection,2
walking,x,6
walking,nerve,3
walking,ankle,19
walking,shin,5
walking,muscle,17
walking,sprain,5
walking,swelling,22
walking,hand,8
walking,finger,4
walking,knee,42
walking,surgery,24
walking,femur,1
walking,triglyceride,1
walking,exercise,37
walking,diet,8
walking,urination,3
walking,testicle,3
walking,numbness,4
walking,mouth,4
walking,eyes,9
walking,knee,3
walking,hip,2
walking,oatmeal,1
walking,fruit,1
walking,food,7
walking,cooking,2
walking,ligament,1
walking,bruise,8
walking,weight,21
walking,pneumonia,7
walking,restlessness,1
walking,confusion,4
walking,neck,3
walking,heart,12
walking,congestive,1
walking,tooth,2
walking,toe,17
walking,fever,7
walking,fatigue,2
walking,cough,3
walking,medicare,2
walking,coldness,5
walking,asthma,2
walking,waist,2
walking,height,1
walking,diabetes,6
walking,trauma,3
walking,hydrocodone,1
walking,head,10
walking,labor,1
walking,baby,4
walking,vertebra,2
walking,spine,5
walking,spasm,1
walking,high,1
walking,chest,8
walking,virus,2
walking,movement,24
walking,family,1
walking,workout,6
walking,bloating,1
walking,tenderness,6
walking,sciatica,2
walking,pressure,12
walking,fibromyalgia,3
walking,hunger,2
walking,thigh,5
walking,hysterectomy,1
walking,arm,10
walking,birth,2
walking,birth,3
walking,anemia,1
walking,running,17
walking,stroke,5
walking,headache,8
walking,seeds,1
walking,rectum,3
walking,intestine,1
walking,brown,1
walking,insulin,3
walking,heart,3
walking,heart,4
walking,flat,2
walking,smoking,3
walking,marijuana,1
walking,skin,10
walking,vagina,4
walking,burn,10
walking,antibiotic,5
walking,heartburn,2
walking,fiber,1
walking,bowel,3
walking,lightheadedness,3
walking,hypoglycemia,1
walking,amputation,1
walking,antidepressant,2
walking,vertigo,1
walking,spinal,1
walking,pilates,1
walking,tendon,1
walking,big,4
walking,anus,3
walking,blood,1
walking,multiple,1
walking,electric,2
walking,nail,1
walking,cuts,1
walking,tightness,8
walking,period,6
walking,sexual,2
walking,pregnancy,7
walking,limb,1
walking,puffiness,1
walking,calorie,4
walking,mononucleosis,1
walking,nausea,5
walking,consciousness,1
walking,concentration,1
walking,pilonidal,1
walking,hair,1
walking,emergency,2
walking,cyst,3
walking,seizure,3
walking,weight,2
walking,wrist,1
walking,hemorrhoid,2
walking,icing,1
walking,nose,3
walking,drowsiness,2
walking,gout,1
walking,ovary,1
walking,bladder,5
walking,travel,2
walking,pulse,4
walking,corpulence,2
walking,swallow,1
walking,potato,1
walking,over,1
walking,sadness,2
walking,hike,1
walking,protein,1
walking,bipolar,1
walking,nervousness,1
walking,hookworm,1
walking,ear,1
walking,shingles,1
walking,belly,1
walking,treadmill,3
walking,sexually,2
walking,lip,1
walking,meal,3
walking,physical,2
walking,drinking,7
walking,lump,4
walking,slipped,1
walking,tremor,1
walking,laparoscopy,1
walking,colonoscopy,2
walking,hernia,2
walking,thumb,1
walking,healing,6
walking,double,1
walking,myomectomy,1
walking,fasciotomy,1
walking,hearing,1
walking,ears,5
walking,throat,1
walking,atrial,1
walking,ablation,1
walking,vitamin,1
walking,insurance,3
walking,salt,1
walking,massage,2
walking,sleepwalking,1
walking,athletes,1
walking,pregnancy,1
walking,nipple,1
walking,breast,1
walking,hirschsprungs,1
walking,forearm,1
walking,achilles,2
walking,naproxen,2
walking,weakness,4
walking,thyroid,1
walking,potassium,1
walking,blood,1
walking,fracture,7
walking,diarrhea,1
walking,appendicitis,1
walking,osteoarthritis,1
walking,arthritis,2
walking,rash,1
walking,allergy,3
walking,oral,1
walking,herpes,1
walking,flatulence,1
walking,cervical,1
walking,penis,3
walking,circulation,2
walking,yoga,2
walking,inflammation,1
walking,orgasm,1
walking,uterus,1
walking,colon,1
walking,birth,1
walking,spinal,1
walking,appendix,1
walking,smell,1
walking,paraplegia,1
walking,scrotum,2
walking,instability,1
walking,bursitis,1
walking,tachycardia,1
walking,metatarsalgia,1
walking,migraine,1
walking,lupus,2
walking,pastry,1
walking,exercise,2
walking,edema,1
walking,turkey,1
walking,cocaine,1
walking,toenail,1
walking,broken,1
walking,bulging,1
walking,fear,3
walking,anxiety,1
walking,hydrocele,1
walking,polio,1
walking,muscular,1
walking,atrophy,1
walking,vaginal,1
walking,ultrasound,1
walking,wound,1
walking,blood,4
walking,pelvic,1
walking,drainage,2
walking,crying,2
walking,internal,1
walking,pelvis,1
walking,hip,1
walking,stress,3
walking,wool,1
walking,plant,1
walking,allergic,1
walking,bronchitis,2
walking,acute,1
walking,connective,1
walking,blood,1
walking,sinus,1
walking,metabolism,1
walking,urethra,1
walking,heart,1
walking,magnetic,1
walking,brain,1
walking,contusion,1
walking,weight,1
walking,teething,1
walking,sinus,1
walking,vomit,1
walking,dislocation,1
walking,stress,1
walking,hallucination,1
walking,thirst,1
walking,depression,2
walking,varicose,2
walking,masturbation,1
walking,bladder,1
walking,shock,1
walking,lung,1
walking,buttocks,1
walking,giddiness,1
walking,erectile,1
