source,target,value
weight,diet,38
weight,pregnancy,20
weight,baby,10
weight,breastfeed,2
weight,vagina,3
weight,urination,2
weight,drug,4
weight,sexual,5
weight,sinus,1
weight,pressure,7
weight,eyes,3
weight,foot,17
weight,food,33
weight,fear,3
weight,birth,1
weight,supplement,3
weight,corpulence,17
weight,toddler,3
weight,height,28
weight,pectoral,1
weight,pacemaker,1
weight,muscle,16
weight,chest,5
weight,puncture,1
weight,throat,2
weight,tenderness,1
weight,exercise,57
weight,coffee,1
weight,tension,1
weight,anxiety,4
weight,ovary,2
weight,nausea,5
weight,head,6
weight,cyst,2
weight,drinking,10
weight,heart,1
weight,family,5
weight,cholesterol,7
weight,metabolism,7
weight,smoking,7
weight,drug,2
weight,thyroid,9
weight,weight,21
weight,healthy,5
weight,weight,15
weight,stress,3
weight,waist,5
weight,running,14
weight,rhinoplasty,1
weight,fatty,2
weight,shoulder,2
weight,hand,12
weight,arm,8
weight,workout,15
weight,diabetes,11
weight,vision,16
weight,ultrasound,1
weight,pelvis,2
weight,forearm,2
weight,emergency,1
weight,wrist,2
weight,injury,4
weight,healing,3
weight,ankle,7
weight,x,2
weight,type,3
weight,obesity,6
weight,blood,2
weight,walking,21
weight,shin,1
weight,leg,18
weight,bruise,3
weight,stitches,1
weight,nail,2
weight,index,2
weight,meal,13
weight,calorie,23
weight,toe,6
weight,tea,1
weight,hunger,10
weight,fruit,7
weight,surgery,5
weight,quit,1
weight,insurance,3
weight,stomach,12
weight,pain,18
weight,movement,6
weight,feeding,2
weight,stent,1
weight,sodium,1
weight,artery,1
weight,yeast,1
weight,cortisol,2
weight,neck,3
weight,fibromyalgia,1
weight,premature,1
weight,hernia,1
weight,hormone,3
weight,fever,1
weight,diarrhea,2
weight,bowel,1
weight,depression,6
weight,meat,2
weight,fish,1
weight,range,1
weight,fracture,3
weight,lightheadedness,1
weight,heart,5
weight,blood,8
weight,short,4
weight,dog,1
weight,nutrition,3
weight,lump,2
weight,jaw,1
weight,sweating,6
weight,drowsiness,3
weight,coldness,2
weight,meditation,1
weight,caffeine,1
weight,skin,5
weight,blood,1
weight,diet,1
weight,burn,7
weight,pie,1
weight,gastric,1
weight,confusion,1
weight,mouth,2
weight,finger,1
weight,period,15
weight,dairy,2
weight,numbness,1
weight,genitalia,2
weight,fatigue,3
weight,insulin,2
weight,blood,3
weight,milk,4
weight,cereal,1
weight,breast,3
weight,cranberry,1
weight,abdominal,1
weight,high,4
weight,spit,1
weight,intestine,1
weight,fast,2
weight,bee,1
weight,swelling,5
weight,therapeutic,1
weight,drug,1
weight,raspberry,1
weight,knee,7
weight,calf,4
weight,triglyceride,2
weight,coronary,1
weight,spotting,2
weight,irregularity,1
weight,testosterone,8
weight,ear,1
weight,birth,3
weight,protein,1
weight,prenatal,1
weight,protein,6
weight,morbid,2
weight,fitness,3
weight,birth,4
weight,kiwi,1
weight,syrup,1
weight,ibuprofen,1
weight,limb,1
weight,circumcision,2
weight,sadness,1
weight,gallbladder,1
weight,chronic,1
weight,physical,1
weight,tendon,1
weight,gonorrhea,1
weight,hysterectomy,2
weight,infant,1
weight,foreskin,1
weight,puberty,3
weight,hair,3
weight,carbohydrate,1
weight,testicle,1
weight,erection,4
weight,paranoid,2
weight,ejaculation,3
weight,gastritis,1
weight,precocious,1
weight,multivitamin,1
weight,folic,1
weight,thigh,2
weight,boil,1
weight,ligament,2
weight,eating,2
weight,tightness,1
weight,cooking,1
weight,back,2
weight,stretch,3
weight,achilles,1
weight,arthritis,1
weight,secondary,1
weight,acne,2
weight,vitamin,1
weight,yoga,1
weight,emaciation,1
weight,hypothyroidism,2
weight,peanut,1
weight,buttocks,1
weight,anorexia,1
weight,dizziness,2
weight,snack,1
weight,fertility,1
weight,pancreatitis,1
weight,ice,2
weight,tobacco,1
weight,marijuana,4
weight,penis,3
weight,weight,1
weight,shoulder,1
weight,miscarriage,1
weight,edema,1
weight,ulcerative,1
weight,elbow,2
weight,injection,1
weight,cuts,1
weight,lotion,2
weight,itch,2
weight,hot,1
weight,pelvic,1
weight,bloating,1
weight,knee,1
weight,antidepressant,1
weight,soda,4
weight,migraine,1
weight,circulation,1
weight,recipe,1
weight,heat,1
weight,menopause,3
weight,hemorrhoid,1
weight,thumb,1
weight,smell,1
weight,bladder,2
weight,constipation,1
weight,temperature,1
weight,down,1
weight,nervousness,2
weight,nerve,2
weight,dislocation,1
weight,iron,1
weight,anemia,1
weight,body,1
weight,salad,1
weight,almond,1
weight,growth,1
weight,steroid,1
weight,grip,1
weight,scoliosis,1
weight,icing,1
weight,weakness,2
weight,cervix,1
weight,inhaler,1
weight,asthma,1
weight,sprain,1
weight,rice,1
weight,liver,1
weight,rheumatoid,1
weight,flour,1
weight,lung,1
weight,compulsive,1
weight,headache,2
weight,lactose,1
weight,pregnancy,1
weight,craving,1
weight,endometriosis,1
weight,nightmare,2
weight,high,1
weight,femur,1
weight,vomit,1
weight,concussion,1
weight,transplant,1
weight,bone,1
weight,second,1
weight,uterus,1
weight,placenta,1
weight,tampon,2
weight,colonoscopy,1
weight,perimenopause,1
weight,massage,1
weight,lung,1
weight,cramps,1
weight,grapefruit,1
weight,masturbation,2
weight,libido,1
weight,conception,1
weight,rash,1
weight,beta,1
weight,testicular,1
weight,prostate,1
