source,target,value
yeast,yeast,15
yeast,pregnancy,10
yeast,period,19
yeast,sexual,12
yeast,irritable,1
yeast,fibromyalgia,1
yeast,over,5
yeast,urethra,2
yeast,penis,9
yeast,chlamydia,3
yeast,vomit,1
yeast,stress,2
yeast,prostate,1
yeast,vagina,28
yeast,smell,8
yeast,burn,12
yeast,bacterium,9
yeast,screening,1
yeast,clitoris,4
yeast,vaginal,3
yeast,itch,8
yeast,diaper,2
yeast,baby,5
yeast,nose,1
yeast,eyes,1
yeast,allergy,2
yeast,vision,5
yeast,coldness,1
yeast,thigh,3
yeast,boil,1
yeast,drinking,3
yeast,tampon,1
yeast,insurance,1
yeast,birth,6
yeast,yogurt,3
yeast,drug,2
yeast,depression,1
yeast,antidepressant,1
yeast,gastric,1
yeast,exercise,3
yeast,cuts,1
yeast,blood,1
yeast,antibiotic,13
yeast,strep,2
yeast,penicillin,1
yeast,drowsiness,1
yeast,diabetes,6
yeast,sexually,6
yeast,genital,2
yeast,acne,1
yeast,thrush,1
yeast,breast,5
yeast,skin,4
yeast,healing,2
yeast,diet,1
yeast,exposure,2
yeast,cranberry,1
yeast,tooth,1
yeast,tooth,1
yeast,mouth,4
yeast,spotting,2
yeast,hunger,1
yeast,herpes,2
yeast,swelling,6
yeast,reaction,1
yeast,bronchitis,1
yeast,bacterial,2
yeast,shaving,1
yeast,pregnancy,3
yeast,ovulation,2
yeast,fear,2
yeast,tenderness,3
yeast,nipple,2
yeast,pressure,1
yeast,sweating,2
yeast,urination,4
yeast,ringworm,2
yeast,short,1
yeast,jock,2
yeast,heat,2
yeast,vitamin,2
yeast,pain,8
yeast,rash,5
yeast,head,2
yeast,trichomoniasis,1
yeast,pelvis,1
yeast,lymph,2
yeast,heart,1
yeast,arm,2
yeast,vaginal,6
yeast,fertility,1
yeast,hair,1
yeast,genitalia,1
yeast,cold,1
yeast,blister,1
yeast,lump,1
yeast,grief,1
yeast,cancer,2
yeast,breast,1
yeast,condom,3
yeast,bloating,1
yeast,bladder,2
yeast,virus,1
yeast,insulin,1
yeast,fish,1
yeast,ammonia,1
yeast,garlic,2
yeast,back,1
yeast,toe,1
yeast,vaginitis,1
yeast,healthy,1
yeast,amoxicillin,1
yeast,abortion,1
yeast,std,1
yeast,sore,1
yeast,contact,1
yeast,teething,1
yeast,fever,1
yeast,ejaculation,1
yeast,diarrhea,1
yeast,lip,1
yeast,hormone,1
yeast,tonsil,1
yeast,biopsy,1
yeast,movement,1
yeast,skin,1
yeast,neck,1
yeast,cats,1
yeast,allergic,2
yeast,vitamin,1
yeast,urinary,1
yeast,hysterectomy,1
yeast,finger,1
yeast,kidney,1
yeast,obesity,1
yeast,armpit,1
yeast,sinus,1
yeast,morning,1
yeast,menopause,1
