tooth,10
teething,6
pregnancy,140
weight,10
breastfeed,17
crying,9
feeding,19
belch,2
food,8
toddler,5
coldness,11
drug,7
cold,4
first,1
hand,6
acetaminophen,2
infant,6
over,3
pain,20
stuffy,1
runny,2
nose,3
back,4
allergy,1
sunscreen,1
skin,8
circumcision,2
cesarean,1
little,1
ultrasound,7
birth,12
spina,1
vaccines,1
epilepsy,1
temperature,3
eyes,3
cavity,2
molar,2
stress,6
kidney,3
honey,1
tooth,1
brain,4
head,9
jelly,1
vision,7
weight,1
fever,12
breast,16
whooping,2
belly,1
hernia,2
macadamia,1
boil,1
x,1
supplement,1
cereal,10
rice,4
chest,2
sids,1
finger,3
thumb,2
ear,1
acne,1
bowel,1
exercise,1
multivitamin,1
arm,3
leg,5
tubal,7
aids,1
hiv,1
sperm,2
cramps,2
spotting,6
stomach,15
running,4
dog,3
hair,3
cough,10
sore,2
vomit,3
ejaculation,6
period,41
sexual,14
vaginal,1
miscarriage,9
bacterium,3
vagina,4
diaper,2
yeast,5
fertility,5
insurance,4
sadness,1
condom,3
craving,1
taste,4
drinking,9
mouth,4
labor,2
walking,4
klinefelters,1
lip,2
uterus,6
marijuana,2
smell,6
smoking,8
family,7
fetus,3
movement,15
rash,3
tenderness,2
flu,2
drowsiness,3
newborn,11
nipple,2
thrush,3
hepatitis,1
mucus,5
conception,3
dental,1
height,3
tonsil,1
diarrhea,3
infertility,2
pregnancy,8
shingles,3
birth,2
milk,17
painkiller,1
ovulation,5
turkey,1
choking,1
skull,1
tetanus,1
in,1
surgery,6
tubal,2
thirst,1
irregularity,6
shoulder,2
enema,1
bronchitis,3
apnea,1
oxygen,1
swelling,4
fibromyalgia,2
occupational,1
lump,2
foot,1
knee,1
talc,1
throat,1
diabetes,4
confusion,1
clitoris,1
menstrual,2
nail,1
toe,2
toenail,1
hysterectomy,2
third,1
bipolar,1
first,2
gestational,1
insulin,1
spit,1
birth,4
carrot,1
juice,2
drainage,1
sleepiness,2
anemia,1
injection,2
emergency,1
urination,2
testicle,3
undescended,1
bruise,1
placenta,2
chickenpox,1
ringworm,1
depression,2
electrogastrogram,1
ovary,2
swallow,1
vinegar,1
dark,1
chlamydia,1
sexually,1
mite,1
chemotherapy,1
cradle,1
fatigue,2
yeast,1
tongue,1
gender,1
syrup,1
meal,1
urinary,1
testosterone,2
abortion,2
herb,2
pear,1
elbow,1
staph,1
cervix,1
hunger,3
tightness,2
hot,2
fish,1
oil,2
vitamin,1
thyroid,1
scar,1
workout,2
dairy,2
diet,1
sweating,1
down,1
headache,1
pulse,1
kidney,1
stent,1
consumption,1
asthma,3
fear,2
inhaler,1
ears,1
immune,1
pneumonia,3
stillbirth,1
amoxicillin,1
dry,1
salt,1
burn,1
blood,2
dairy,1
calcium,1
lactose,1
nervousness,1
cocaine,1
scoliosis,1
jaundice,1
dehydration,1
travel,1
nicotine,2
quit,1
blister,1
coffee,1
mashed,1
shoulder,1
strep,1
cooking,1
grapefruit,1
sunburn,1
ovarian,1
constipation,1
dizziness,1
menopause,1
cats,1
herpes,1
cortisone,1
morning,1
forgetfulness,1
memory,1
iris,1
allergic,1
iron,1
antibiotic,1
meningitis,1
soy,1
