,pain-questions,pregnancy-questions,period-questions,sexual-intercourse-questions,vision-questions,stomach-questions,penis-questions,swelling-questions,drinking-questions,skin-questions
1,192,160,137,97,82,48,43,36,50,77
2,216,170,163,110,86,44,50,39,50,50
3,196,146,112,95,83,59,43,55,55,42
4,168,124,116,64,64,53,34,54,49,49
5,160,141,155,105,61,60,36,43,41,43
6,155,143,108,110,52,43,65,50,30,47
7,206,186,171,149,81,51,80,80,47,56
8,178,198,182,102,81,47,59,59,55,56
9,169,156,178,62,65,28,63,46,38,34
10,285,245,250,85,136,86,87,68,77,73
11,293,219,216,81,119,85,89,71,68,74
12,225,192,192,126,107,71,76,53,71,72
