Document Index (generated),Number of Records,Question Id,Topic Id
1,1,1013789,drug-questions
2,1,1020547,b-complex-vitamins-questions
3,1,1030987,drug-questions
4,1,1045088,drug-questions
5,1,1046489,drug-questions
6,1,1048502,drug-questions
7,1,1048914,drug-questions
8,1,1048914,methadone-questions
9,1,1048918,methadone-questions
10,1,1084969,methadone-questions
11,1,1084971,methadone-questions
12,1,1084973,drug-questions
13,1,1084973,methadone-questions
14,1,1084995,drug-questions
15,1,1085367,drug-questions
16,1,1091272,drug-questions
17,1,1101250,drug-questions
18,1,1147021,b-complex-vitamins-questions
19,1,1166743,diet-questions
20,1,1166743,weight-questions
21,1,1166744,exercise-questions
22,1,1166747,exercise-questions
23,1,1166748,exercise-questions
24,1,1166748,muscle-questions
25,1,1166749,burn-questions
26,1,1166753,weight-questions
27,1,1166754,exercise-questions
28,1,1166758,weight-questions
29,1,1166763,weight-questions
30,1,1166834,yoga-questions
31,1,1166838,running-questions
32,1,1166839,diet-questions
33,1,1166839,running-questions
34,1,1166851,running-questions
35,1,1166864,caffeine-questions
36,1,1166864,weight-loss-questions
37,1,1167302,injection-questions
38,1,1167330,smoking-questions
39,1,1167789,diabetes-questions
40,1,1168255,methadone-questions
41,1,1168258,methadone-questions
42,1,1168377,asthma-questions
43,1,1168548,oxycodone-questions
44,1,1168595,antidepressant-questions
45,1,1168595,drug-questions
46,1,1169866,impotence-questions
47,1,1169953,psoriasis-questions
48,1,1170657,kidney-stone-questions
49,1,1170666,infertility-questions
50,1,1170668,infertility-questions
51,1,1170753,pulmonary-embolism-questions
52,1,1170791,insomnia-questions
53,1,1171137,arthritis-questions
54,1,1171137,hand-questions
55,1,1171137,wrist-questions
56,1,1171525,epilepsy-questions
57,1,1171525,surgery-questions
58,1,1171538,thyroid-questions
59,1,1171572,hysterectomy-questions
60,1,1171634,heart-attack-questions
61,1,1171634,stroke-questions
62,1,1171660,creatinine-questions
63,1,1171816,stress-questions
64,1,1171817,echocardiogram-questions
65,1,1171819,diabetes-questions
66,1,1171819,echocardiogram-questions
67,1,1171821,echocardiogram-questions
68,1,1171822,echocardiogram-questions
69,1,1171961,dental-questions
70,1,1171962,dental-questions
71,1,1171965,dental-questions
72,1,1171967,dental-questions
73,1,1171968,tooth-questions
74,1,1171969,tooth-questions
75,1,1171970,pain-questions
76,1,1172013,insurance-questions
77,1,1172014,dental-questions
78,1,1172015,dental-questions
79,1,1172016,dental-questions
80,1,1172017,dental-questions
81,1,1172018,dental-questions
82,1,1172018,insurance-questions
83,1,1172019,dental-questions
84,1,1172020,dental-questions
85,1,1172020,pain-questions
86,1,1172021,dental-questions
87,1,1172022,teething-questions
88,1,1172023,baby-questions
89,1,1172023,tooth-questions
90,1,1172024,pain-questions
91,1,1172024,teething-questions
92,1,1172025,baby-questions
93,1,1172025,teething-questions
94,1,1172090,insurance-questions
95,1,1172090,liposuction-questions
96,1,1172145,injection-questions
97,1,1172145,steroid-questions
98,1,1172146,injection-questions
99,1,1172146,steroid-questions
100,1,1172248,pregnancy-test-questions
101,1,1172348,mouth-questions
102,1,1172349,mouth-questions
103,1,1172350,mouth-questions
104,1,1172352,dental-questions
105,1,1172353,dental-questions
106,1,1172355,dental-questions
107,1,1172356,dental-questions
108,1,1172357,dental-questions
109,1,1172358,dental-questions
110,1,1172359,dental-questions
111,1,1172362,vision-questions
112,1,1172363,mouth-questions
113,1,1172366,x-ray-questions
114,1,1172452,acne-questions
